"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.05","0.06","0.05","0.05","0.05"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0.1","0.09","0.1","0.1","0.1"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"5",NA,NA,"HCR 3a (SESSF)","0.03","0.03","0.03","0.03","0.03"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0.1","0.09","0.11","0.1","0.1"
"8",NA,NA,"HCR 5 (Avg F)","0.01","0.05","0.05","0.05","0.05"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0.06","0.06","0.06","0.06","0.06"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0.06","0.06","0.06","0.06","0.06"
"16",NA,NA,"HCR 5 (Avg F)","0.01","0.05","0.05","0.05","0.05"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.35","0.32","0.32","0.35","0.35"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.29","0.23","0.37","0.29","0.29"
"19",NA,NA,"HCR 2a (PFMC)","0.59","0.5","0.64","0.59","0.59"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.51","0.4","0.61","0.51","0.51"
"21",NA,NA,"HCR 3a (SESSF)","0.23","0.22","0.2","0.23","0.23"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.16","0.13","0.2","0.16","0.16"
"23",NA,NA,"HCR 4 (NEFMC)","0.55","0.47","0.64","0.56","0.56"
"24",NA,NA,"HCR 5 (Avg F)","0.1","0.18","0.25","0.21","0.21"
"25",NA,"Est M","HCR 1a (NPFMC)","0.09","0.09","0.09","0.09","0.09"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02"
"27",NA,NA,"HCR 2a (PFMC)","0.1","0.1","0.1","0.1","0.1"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.07","0.07","0.07","0.07","0.07"
"29",NA,NA,"HCR 3a (SESSF)","0.1","0.1","0.1","0.1","0.1"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.07","0.07","0.07","0.07","0.07"
"31",NA,NA,"HCR 4 (NEFMC)","0.1","0.1","0.1","0.1","0.1"
"32",NA,NA,"HCR 5 (Avg F)","0.09","0.18","0.25","0.21","0.21"
"33","MS","Fix M","HCR 1a (NPFMC)","0.16","0.07","0.14","0.13","0.1"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.16","0.09","0.2","0.17","0.12"
"35",NA,NA,"HCR 2a (PFMC)","0.11","0.04","0.08","0.07","0.05"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.11","0.05","0.09","0.08","0.06"
"37",NA,NA,"HCR 3a (SESSF)","0.09","0.01","0.03","0.03","0.02"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.11","0.04","0.09","0.07","0.06"
"39",NA,NA,"HCR 4 (NEFMC)","0.18","0.11","0.23","0.19","0.14"
"40",NA,NA,"HCR 5 (Avg F)","0.07","0.05","0.09","0.08","0.05"
"41",NA,"Est M","HCR 1a (NPFMC)","0.08","0","0.01","0.01","0"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.01","0.01","0.01","0.01"
"43",NA,NA,"HCR 2a (PFMC)","0.07","0","0","0","0"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.08","0","0","0","0"
"45",NA,NA,"HCR 3a (SESSF)","0.07","0","0","0","0"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.08","0","0","0","0"
"47",NA,NA,"HCR 4 (NEFMC)","0.09","0.03","0.04","0.04","0.03"
"48",NA,NA,"HCR 5 (Avg F)","0.07","0.04","0.08","0.07","0.05"
