"","System","EM","HCR","1. SS M","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.02","0.02","0.26","0.25","0","0.09"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.25","0.25","0","0.08"
"3",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.26","0.26","0.01","0.08"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.26","0.26","0.01","0.08"
"5",NA,NA,"HCR 3a (SESSF)","0.02","0.02","0.27","0.27","0.01","0.08"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.02","0.02","0.27","0.27","0.01","0.08"
"7",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.28","0.28","0.01","0.09"
"8",NA,NA,"HCR 5 (Avg F)","0.03","0.02","0.29","0.29","0","0.1"
"9",NA,"Est M","HCR 1a (NPFMC)","0.11","0.11","0.03","0.02","0.01","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.1","0.11","0.02","0.03","0.01","0"
"11",NA,NA,"HCR 2a (PFMC)","0.12","0.12","0.03","0.02","0.02","0.01"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.12","0.12","0.03","0.03","0.02","0.01"
"13",NA,NA,"HCR 3a (SESSF)","0.14","0.14","0.03","0.03","0.03","0.01"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.14","0.14","0.03","0.03","0.03","0.01"
"15",NA,NA,"HCR 4 (NEFMC)","0.15","0.16","0.03","0.03","0.03","0.01"
"16",NA,NA,"HCR 5 (Avg F)","0.16","0.16","0.04","0.04","0.06","0.09"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.08","0.08","0.36","0.35","0.01","0.01"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.09","0.35","0.35","0.01","0.01"
"19",NA,NA,"HCR 2a (PFMC)","0.09","0.09","0.39","0.37","0.02","0.01"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.08","0.1","0.38","0.38","0.02","0.01"
"21",NA,NA,"HCR 3a (SESSF)","0.08","0.08","0.4","0.39","0.03","0.01"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.09","0.09","0.4","0.39","0.03","0.01"
"23",NA,NA,"HCR 4 (NEFMC)","0.09","0.09","0.44","0.41","0.06","0.03"
"24",NA,NA,"HCR 5 (Avg F)","0.09","0.09","0.42","0.39","0.07","0.04"
"25",NA,"Est M","HCR 1a (NPFMC)","0.22","0.23","0.1","0.11","0.11","0.14"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.22","0.24","0.1","0.12","0.12","0.16"
"27",NA,NA,"HCR 2a (PFMC)","0.24","0.27","0.12","0.13","0.15","0.23"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.24","0.26","0.12","0.13","0.16","0.23"
"29",NA,NA,"HCR 3a (SESSF)","0.29","0.3","0.14","0.15","0.15","0.18"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.3","0.31","0.13","0.14","0.15","0.2"
"31",NA,NA,"HCR 4 (NEFMC)","0.39","0.43","0.14","0.14","0.2","0.22"
"32",NA,NA,"HCR 5 (Avg F)","0.67","0.73","0.1","0.13","0.15","0.36"
