"","System","EM","HCR","1. SS M","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","     2","     3","     2","     3","     3","     3"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","     2","     3","     2","     3","     3","     3"
"3",NA,NA,"HCR 2a (PFMC)","     2","     2","     2","     3","     3","     3"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","     2","     2","     2","     3","     3","     3"
"5",NA,NA,"HCR 3a (SESSF)","     2","     2","     2","     2","     2","     2"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","     2","     2","     2","     2","     2","     2"
"7",NA,NA,"HCR 4 (NEFMC)","     2","     2","     2","     2","     2","     2"
"8",NA,NA,"HCR 5 (Avg F)","     1","     1","     1","     1","     2","     1"
"9",NA,"Est M","HCR 1a (NPFMC)","     2","     3","     3","     4","     3","     6"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","     2","     3","     3","     5","     3","     6"
"11",NA,NA,"HCR 2a (PFMC)","     2","     3","     3","     4","     3","     6"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","     2","     3","     3","     4","     3","     6"
"13",NA,NA,"HCR 3a (SESSF)","     2","     3","     3","     4","     3","     5"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","     2","     3","     3","     4","     3","     5"
"15",NA,NA,"HCR 4 (NEFMC)","     2","     2","     3","     3","     3","     5"
"16",NA,NA,"HCR 5 (Avg F)","     1","     1","     1","     1","     2","     1"
"17","GOA","Fix M","HCR 1a (NPFMC)","    0","    0","    0","    0","    0","    1"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","    0","    0","    0","    0","    0","    1"
"19",NA,NA,"HCR 2a (PFMC)","    0","    0","    0","    0","    0","    0"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","    0","    0","    0","    0","    0","    0"
"21",NA,NA,"HCR 3a (SESSF)","    0","    0","    0","    0","    0","    0"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","    0","    0","    0","    0","    0","    0"
"23",NA,NA,"HCR 4 (NEFMC)","    0","    0","    0","    0","    0","    0"
"24",NA,NA,"HCR 5 (Avg F)","    0","    0","    0","    0","    0","    0"
"25",NA,"Est M","HCR 1a (NPFMC)","    0","    0","    0","    0","    1","    1"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","    0","    0","    0","    0","    1","    1"
"27",NA,NA,"HCR 2a (PFMC)","    0","    0","    0","    0","    1","    1"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","    0","    0","    0","    0","    1","    1"
"29",NA,NA,"HCR 3a (SESSF)","    0","    0","    0","    0","    0","    1"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","    0","    0","    0","    0","    0","    1"
"31",NA,NA,"HCR 4 (NEFMC)","    0","    0","    0","    0","    0","    1"
"32",NA,NA,"HCR 5 (Avg F)","    0","    0","    0","    0","    0","    0"
