"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.41","0.67","0.4","0.68","0.61","0.63"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.66","0.38","0.67","0.6","0.63"
"3",NA,NA,"HCR 2a (PFMC)","0.44","0.7","0.43","0.71","0.65","0.67"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.7","0.43","0.71","0.65","0.67"
"5",NA,NA,"HCR 3a (SESSF)","0.48","0.74","0.47","0.75","0.69","0.7"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","0.74","0.46","0.74","0.69","0.7"
"7",NA,NA,"HCR 4 (NEFMC)","0.54","0.79","0.53","0.8","0.76","0.75"
"8",NA,NA,"HCR 5 (Avg F)","0.29","0.52","0.28","0.56","0.42","0.49"
"9",NA,"Est M","HCR 1a (NPFMC)","0.41","0.67","0.41","0.62","0.65","0.61"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.65","0.4","0.61","0.64","0.61"
"11",NA,NA,"HCR 2a (PFMC)","0.44","0.7","0.44","0.65","0.7","0.65"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.7","0.44","0.65","0.7","0.65"
"13",NA,NA,"HCR 3a (SESSF)","0.48","0.74","0.48","0.7","0.74","0.68"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","0.74","0.48","0.69","0.74","0.68"
"15",NA,NA,"HCR 4 (NEFMC)","0.54","0.79","0.55","0.74","0.82","0.72"
"16",NA,NA,"HCR 5 (Avg F)","0.3","0.53","0.28","0.59","0.42","0.51"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.4","0.53","0.22","0.38","0.39","0.51"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.39","0.52","0.21","0.38","0.38","0.51"
"19",NA,NA,"HCR 2a (PFMC)","0.42","0.56","0.23","0.41","0.42","0.55"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.42","0.56","0.23","0.41","0.42","0.56"
"21",NA,NA,"HCR 3a (SESSF)","0.48","0.63","0.27","0.46","0.46","0.59"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.47","0.63","0.26","0.47","0.46","0.59"
"23",NA,NA,"HCR 4 (NEFMC)","0.48","0.63","0.27","0.47","0.46","0.6"
"24",NA,NA,"HCR 5 (Avg F)","0.48","0.63","0.26","0.46","0.43","0.57"
"25",NA,"Est M","HCR 1a (NPFMC)","0.48","0.58","0.43","0.62","0.51","0.64"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.48","0.59","0.42","0.63","0.53","0.65"
"27",NA,NA,"HCR 2a (PFMC)","0.51","0.62","0.48","0.69","0.56","0.7"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.51","0.63","0.48","0.69","0.57","0.7"
"29",NA,NA,"HCR 3a (SESSF)","0.53","0.65","0.51","0.71","0.57","0.69"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.56","0.68","0.51","0.72","0.59","0.71"
"31",NA,NA,"HCR 4 (NEFMC)","0.6","0.71","0.59","0.78","0.64","0.75"
"32",NA,NA,"HCR 5 (Avg F)","0.48","0.62","0.26","0.46","0.44","0.56"
