"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.02","0.02","0.02","0.03","0.02","0.02"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.03","0.02","0.02"
"3",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.02","0.02","0.02","0.02"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.02","0.02","0.02","0.02"
"5",NA,NA,"HCR 3a (SESSF)","0.02","0.02","0.02","0.02","0.02","0.02"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.02","0.02","0.02","0.02","0.02","0.02"
"7",NA,NA,"HCR 4 (NEFMC)","0.01","0.01","0.02","0.02","0.02","0.02"
"8",NA,NA,"HCR 5 (Avg F)","0.02","0.02","0.02","0.05","0.02","0.02"
"9",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.02","0.02","0.02","0.02"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02","0.02"
"11",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.02","0.02","0.02","0.02"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.02","0.02","0.02","0.02"
"13",NA,NA,"HCR 3a (SESSF)","0.02","0.02","0.01","0.02","0.01","0.02"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.02","0.02","0.02","0.02","0.01","0.02"
"15",NA,NA,"HCR 4 (NEFMC)","0.01","0.02","0.01","0.02","0.01","0.02"
"16",NA,NA,"HCR 5 (Avg F)","0.02","0.02","0.02","0.02","0.02","0.03"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.06","0.05","0.39","0.39","0.12","0.12"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.06","0.05","0.38","0.39","0.12","0.12"
"19",NA,NA,"HCR 2a (PFMC)","0.05","0.05","0.4","0.4","0.12","0.12"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.05","0.05","0.39","0.4","0.11","0.12"
"21",NA,NA,"HCR 3a (SESSF)","0.04","0.04","0.44","0.44","0.11","0.12"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.04","0.04","0.42","0.42","0.11","0.12"
"23",NA,NA,"HCR 4 (NEFMC)","0.04","0.04","0.42","0.43","0.11","0.12"
"24",NA,NA,"HCR 5 (Avg F)","0.05","0.05","0.41","0.42","0.11","0.12"
"25",NA,"Est M","HCR 1a (NPFMC)","0.13","0.08","0.07","0.07","0.12","0.07"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.14","0.09","0.07","0.08","0.13","0.08"
"27",NA,NA,"HCR 2a (PFMC)","0.15","0.1","0.11","0.13","0.14","0.1"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.15","0.1","0.11","0.13","0.15","0.1"
"29",NA,NA,"HCR 3a (SESSF)","0.11","0.08","0.1","0.13","0.1","0.08"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.16","0.12","0.11","0.14","0.14","0.12"
"31",NA,NA,"HCR 4 (NEFMC)","0.19","0.16","0.16","0.18","0.19","0.17"
"32",NA,NA,"HCR 5 (Avg F)","0.13","0.1","0.05","0.05","0.11","0.09"
