"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.41","0.72","0.4","0.76","0.64","0.72"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.71","0.39","0.75","0.63","0.72"
"3",NA,NA,"HCR 2a (PFMC)","0.44","0.76","0.43","0.79","0.69","0.77"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.76","0.43","0.79","0.69","0.77"
"5",NA,NA,"HCR 3a (SESSF)","0.48","0.8","0.47","0.83","0.73","0.81"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","0.8","0.47","0.83","0.73","0.81"
"7",NA,NA,"HCR 4 (NEFMC)","0.55","0.86","0.53","0.89","0.81","0.86"
"8",NA,NA,"HCR 5 (Avg F)","0.29","0.56","0.28","0.62","0.44","0.56"
"9",NA,"Est M","HCR 1a (NPFMC)","0.41","0.72","0.41","0.69","0.68","0.7"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.71","0.4","0.68","0.67","0.7"
"11",NA,NA,"HCR 2a (PFMC)","0.44","0.76","0.45","0.72","0.74","0.75"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.76","0.44","0.72","0.74","0.75"
"13",NA,NA,"HCR 3a (SESSF)","0.48","0.8","0.48","0.78","0.78","0.78"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","0.8","0.48","0.77","0.78","0.78"
"15",NA,NA,"HCR 4 (NEFMC)","0.54","0.86","0.55","0.83","0.87","0.84"
"16",NA,NA,"HCR 5 (Avg F)","0.3","0.57","0.28","0.65","0.44","0.59"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.4","0.89","0.22","0.6","0.39","0.87"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.39","0.89","0.21","0.6","0.39","0.87"
"19",NA,NA,"HCR 2a (PFMC)","0.42","0.95","0.23","0.64","0.42","0.94"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.42","0.95","0.23","0.65","0.42","0.95"
"21",NA,NA,"HCR 3a (SESSF)","0.48","1.06","0.27","0.72","0.47","1"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","1.06","0.27","0.74","0.47","1.01"
"23",NA,NA,"HCR 4 (NEFMC)","0.49","1.07","0.27","0.75","0.47","1.01"
"24",NA,NA,"HCR 5 (Avg F)","0.48","1.06","0.26","0.73","0.44","0.97"
"25",NA,"Est M","HCR 1a (NPFMC)","0.48","0.98","0.43","0.98","0.52","1.08"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.48","0.99","0.43","1","0.53","1.11"
"27",NA,NA,"HCR 2a (PFMC)","0.51","1.05","0.49","1.09","0.57","1.19"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.52","1.06","0.48","1.09","0.58","1.19"
"29",NA,NA,"HCR 3a (SESSF)","0.54","1.1","0.52","1.13","0.57","1.17"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.56","1.15","0.52","1.14","0.6","1.21"
"31",NA,NA,"HCR 4 (NEFMC)","0.6","1.2","0.6","1.24","0.65","1.27"
"32",NA,NA,"HCR 5 (Avg F)","0.48","1.05","0.27","0.73","0.44","0.96"
