"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","   147","   173","   148","   174","   158","   187"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","   149","   175","   150","   176","   159","   187"
"3",NA,NA,"HCR 2a (PFMC)","   141","   160","   142","   162","   149","   172"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","   141","   161","   142","   162","   149","   172"
"5",NA,NA,"HCR 3a (SESSF)","   131","   146","   133","   147","   136","   157"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","   132","   146","   133","   148","   136","   156"
"7",NA,NA,"HCR 4 (NEFMC)","   118","   126","   119","   127","   120","   134"
"8",NA,NA,"HCR 5 (Avg F)","   172","   212","   172","   212","   179","   226"
"9",NA,"Est M","HCR 1a (NPFMC)","   147","   173","   145","   196","   158","   197"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","   150","   175","   147","   197","   160","   197"
"11",NA,NA,"HCR 2a (PFMC)","   141","   161","   138","   185","   149","   182"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","   141","   161","   138","   185","   149","   182"
"13",NA,NA,"HCR 3a (SESSF)","   131","   146","   129","   167","   137","   165"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","   132","   146","   130","   168","   137","   165"
"15",NA,NA,"HCR 4 (NEFMC)","   118","   126","   116","   150","   120","   143"
"16",NA,NA,"HCR 5 (Avg F)","   171","   209","   171","   205","   178","   220"
"17","GOA","Fix M","HCR 1a (NPFMC)","   27","   58","   20","   43","   28","   61"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","   28","   57","   20","   43","   29","   61"
"19",NA,NA,"HCR 2a (PFMC)","   26","   55","   20","   42","   27","   59"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","   26","   54","   20","   42","   28","   58"
"21",NA,NA,"HCR 3a (SESSF)","   23","   48","   18","   40","   24","   51"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","   23","   48","   19","   39","   24","   50"
"23",NA,NA,"HCR 4 (NEFMC)","   23","   47","   19","   39","   24","   48"
"24",NA,NA,"HCR 5 (Avg F)","   23","   48","   19","   39","   23","   47"
"25",NA,"Est M","HCR 1a (NPFMC)","   23","   51","   14","   28","   23","   50"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","   23","   50","   15","   28","   23","   49"
"27",NA,NA,"HCR 2a (PFMC)","   21","   47","   13","   24","   21","   46"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","   21","   47","   13","   24","   21","   45"
"29",NA,NA,"HCR 3a (SESSF)","   20","   44","   12","   21","   20","   41"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","   19","   41","   13","   21","   19","   38"
"31",NA,NA,"HCR 4 (NEFMC)","   18","   37","   11","   17","   17","   33"
"32",NA,NA,"HCR 5 (Avg F)","   23","   48","   19","   39","   22","   46"
