"","System","EM","HCR","1. SS M","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.15","0.14","0.14","0.15","0.15","0.15"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.1","0.11","0.1","0.12","0.11","0.13"
"3",NA,NA,"HCR 2a (PFMC)","0.11","0.12","0.11","0.12","0.12","0.13"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.11","0.11","0.1","0.12","0.11","0.13"
"5",NA,NA,"HCR 3a (SESSF)","0.14","0.14","0.13","0.15","0.14","0.14"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.1","0.1","0.09","0.11","0.1","0.12"
"7",NA,NA,"HCR 4 (NEFMC)","0.09","0.1","0.08","0.11","0.09","0.11"
"8",NA,NA,"HCR 5 (Avg F)","0.15","0.15","0.15","0.15","0.16","0.16"
"9",NA,"Est M","HCR 1a (NPFMC)","0.15","0.14","0.14","0.16","0.14","0.15"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.1","0.11","0.1","0.13","0.11","0.13"
"11",NA,NA,"HCR 2a (PFMC)","0.11","0.12","0.11","0.13","0.11","0.13"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.11","0.11","0.1","0.13","0.11","0.13"
"13",NA,NA,"HCR 3a (SESSF)","0.14","0.14","0.13","0.15","0.13","0.14"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.1","0.1","0.1","0.13","0.1","0.13"
"15",NA,NA,"HCR 4 (NEFMC)","0.09","0.1","0.08","0.11","0.09","0.11"
"16",NA,NA,"HCR 5 (Avg F)","0.15","0.14","0.15","0.14","0.16","0.15"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.37","0.31","0.48","0.35","0.35","0.29"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.3","0.3","0.36","0.33","0.28","0.28"
"19",NA,NA,"HCR 2a (PFMC)","0.29","0.28","0.35","0.29","0.28","0.26"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.28","0.28","0.3","0.29","0.27","0.26"
"21",NA,NA,"HCR 3a (SESSF)","0.31","0.26","0.36","0.26","0.28","0.25"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.26","0.26","0.26","0.26","0.24","0.25"
"23",NA,NA,"HCR 4 (NEFMC)","0.24","0.25","0.23","0.24","0.23","0.23"
"24",NA,NA,"HCR 5 (Avg F)","0.25","0.25","0.24","0.24","0.23","0.23"
"25",NA,"Est M","HCR 1a (NPFMC)","0.31","0.28","0.23","0.21","0.27","0.25"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.25","0.27","0.2","0.21","0.22","0.24"
"27",NA,NA,"HCR 2a (PFMC)","0.26","0.26","0.19","0.2","0.22","0.23"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.25","0.26","0.17","0.2","0.22","0.23"
"29",NA,NA,"HCR 3a (SESSF)","0.28","0.26","0.22","0.21","0.24","0.23"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.23","0.25","0.18","0.2","0.2","0.22"
"31",NA,NA,"HCR 4 (NEFMC)","0.21","0.23","0.16","0.18","0.19","0.21"
"32",NA,NA,"HCR 5 (Avg F)","0.25","0.26","0.24","0.25","0.23","0.24"
