"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0","0","0","0","0","0"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0","0"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0","0"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.06","0.05","0.09","0.05","0.06","0.05"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0.05","0.03","0","0"
"19",NA,NA,"HCR 2a (PFMC)","0","0","0.02","0","0","0"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"21",NA,NA,"HCR 3a (SESSF)","0.03","0.01","0.03","0","0.03","0.01"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0"
"23",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"24",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"25",NA,"Est M","HCR 1a (NPFMC)","0.05","0.04","0.08","0.07","0.05","0.04"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0.05","0.05","0","0"
"27",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0","0"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"29",NA,NA,"HCR 3a (SESSF)","0.02","0","0.08","0.07","0.02","0.01"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0.05","0.05","0","0"
"31",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"32",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
