"","Cap","EM","1. No climate","2. w/ SRR","3. 1-2.6","4. w/ SRR","5. 2-4.5","6. w/ SRR","7. 5-8.5","8. w/ SRR"
"1","FALSE","NPFMC Fix-M","   98","   89","   77","   77","   63","   63","   54","   54"
"2",NA,"NPFMC Fix-M (Dynamic B0)","   99","   89","   78","   78","   66","   65","   57","   56"
"3",NA,"NPFMC Est-M","  111","   90","   86","   80","   70","   65","   60","   57"
"4",NA,"NPFMC Est-M (Dynamic B0)","  111","   90","   88","   80","   74","   66","   65","   58"
"5",NA,"MS-B40 iter","  122","   88","   98","   79","   82","   64","   72","   58"
"6",NA,"MS-B40 simul","  123","   89","   98","   80","   82","   65","   72","   59"
"7",NA,"MS-MSY","  133","   87","  155","   80","  123","   65","  102","   59"
"8",NA,"MS-cMSY","  168","   87","  134","   80","  111","   65","   97","   59"
"9","TRUE","NPFMC Fix-M","   36","   36","   35","   36","   34","   35","   31","   31"
"10",NA,"NPFMC Fix-M (Dynamic B0)","   36","   36","   35","   36","   35","   35","   33","   33"
"11",NA,"NPFMC Est-M","   36","   36","   35","   36","   35","   35","   32","   32"
"12",NA,"NPFMC Est-M (Dynamic B0)","   36","   36","   35","   36","   35","   35","   34","   33"
"13",NA,"MS-B40 iter","   36","   36","   35","   36","   35","   35","   34","   33"
"14",NA,"MS-B40 simul","   36","   36","   35","   36","   35","   35","   34","   33"
"15",NA,"MS-MSY","   36","   36","   35","   36","   35","   35","   35","   33"
"16",NA,"MS-cMSY","   36","   36","   35","   36","   35","   35","   35","   33"
