"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","      237","      244","      258","      246","      258"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","      218","      248","      225","      251","      225"
"3",NA,NA,"HCR 2a (PFMC)","      286","      324","      296","      323","      296"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","      286","      325","      295","      325","      294"
"5",NA,NA,"HCR 3a (SESSF)","      118","      156","      176","      156","      176"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","      116","      155","      111","      156","      111"
"7",NA,NA,"HCR 4 (NEFMC)","      168","      247","      207","      248","      208"
"8",NA,NA,"HCR 5 (Avg F)","      577","       30","       15","    1,076","    1,544"
"9",NA,"Est M","HCR 1a (NPFMC)","      295","      288","      324","      288","      325"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","      262","      286","      274","      288","      273"
"11",NA,NA,"HCR 2a (PFMC)","      364","      386","      387","      383","      386"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","      363","      387","      385","      386","      383"
"13",NA,NA,"HCR 3a (SESSF)","      138","      172","      211","      173","      210"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","      136","      174","      134","      174","      134"
"15",NA,NA,"HCR 4 (NEFMC)","      164","      284","      258","      284","      258"
"16",NA,NA,"HCR 5 (Avg F)","      461","      734","    1,032","      734","    1,032"
"17","SS est M","Fix M","HCR 1a (NPFMC)","      322","      433","      327","      435","      324"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","      340","      463","      307","      462","      307"
"19",NA,NA,"HCR 2a (PFMC)","      413","      566","      372","      564","      372"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","      412","      564","      372","      569","      370"
"21",NA,NA,"HCR 3a (SESSF)","      202","      305","      206","      306","      207"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","      202","      305","      168","      304","      169"
"23",NA,NA,"HCR 4 (NEFMC)","      245","      442","      272","      447","      271"
"24",NA,NA,"HCR 5 (Avg F)","      547","       67","       33","      917","    1,170"
"25",NA,"Est M","HCR 1a (NPFMC)","      788","      732","      881","      734","      879"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","      644","      713","      665","      711","      664"
"27",NA,NA,"HCR 2a (PFMC)","    1,280","    1,246","    1,428","    1,243","    1,425"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","    1,273","    1,244","    1,403","    1,241","    1,401"
"29",NA,NA,"HCR 3a (SESSF)","      344","      396","      558","      396","      559"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","      310","      391","      302","      391","      300"
"31",NA,NA,"HCR 4 (NEFMC)","      297","      707","      674","      710","      675"
"32",NA,NA,"HCR 5 (Avg F)","      668","      617","      827","      617","      828"
"33","MS","Fix M","HCR 1a (NPFMC)","      214","      242","      229","      250","      230"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","      209","      253","      202","      258","      205"
"35",NA,NA,"HCR 2a (PFMC)","      266","      315","      258","      324","      262"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","      266","      316","      258","      322","      260"
"37",NA,NA,"HCR 3a (SESSF)","      116","      154","      126","      165","      147"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","      115","      155","      104","      163","      104"
"39",NA,NA,"HCR 4 (NEFMC)","      170","      245","      185","      256","      187"
"40",NA,NA,"HCR 5 (Avg F)","      506","       30","       17","       34","       17"
"41",NA,"Est M","HCR 1a (NPFMC)","      251","      276","      272","      282","      274"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","      242","      292","      243","      296","      246"
"43",NA,NA,"HCR 2a (PFMC)","      317","      374","      328","      381","      332"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","      318","      375","      327","      378","      332"
"45",NA,NA,"HCR 3a (SESSF)","      133","      175","      147","      184","      168"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","      133","      175","      124","      183","      125"
"47",NA,NA,"HCR 4 (NEFMC)","      137","      281","      223","      287","      225"
"48",NA,NA,"HCR 5 (Avg F)","      397","       30","       17","       33","       17"
