"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","    33","    47","    38","    57","    40","    59"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","    34","    47","    38","    57","    40","    59"
"3",NA,NA,"HCR 2a (PFMC)","    34","    48","    40","    59","    41","    61"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","    34","    48","    40","    59","    41","    61"
"5",NA,NA,"HCR 3a (SESSF)","    30","    42","    33","    49","    34","    50"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","    30","    42","    33","    49","    34","    50"
"7",NA,NA,"HCR 4 (NEFMC)","    25","    36","    27","    40","    28","    41"
"8",NA,NA,"HCR 5 (Avg F)","    12","    15","    12","    17","    12","    17"
"9",NA,"Est M","HCR 1a (NPFMC)","    34","    48","    47","    67","    50","    73"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","    34","    48","    48","    67","    50","    73"
"11",NA,NA,"HCR 2a (PFMC)","    35","    49","    50","    68","    52","    74"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","    35","    49","    50","    68","    52","    74"
"13",NA,NA,"HCR 3a (SESSF)","    30","    43","    42","    62","    44","    66"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","    30","    43","    42","    62","    44","    66"
"15",NA,NA,"HCR 4 (NEFMC)","    26","    37","    37","    56","    39","    59"
"16",NA,NA,"HCR 5 (Avg F)","    12","    15","    12","    17","    12","    17"
"17","GOA","Fix M","HCR 1a (NPFMC)","   86","  123","   99","  136","  101","  134"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","   87","  123","  100","  136","  101","  134"
"19",NA,NA,"HCR 2a (PFMC)","   89","  126","  103","  140","  104","  137"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","   89","  126","  103","  140","  104","  137"
"21",NA,NA,"HCR 3a (SESSF)","   75","  107","   85","  116","   85","  115"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","   75","  107","   85","  116","   85","  115"
"23",NA,NA,"HCR 4 (NEFMC)","   66","   92","   72","   99","   72","   98"
"24",NA,NA,"HCR 5 (Avg F)","   19","   24","   20","   26","   20","   27"
"25",NA,"Est M","HCR 1a (NPFMC)","   85","  121","  110","  148","  109","  143"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","   85","  121","  111","  148","  109","  143"
"27",NA,NA,"HCR 2a (PFMC)","   87","  123","  117","  152","  115","  147"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","   87","  123","  117","  152","  116","  147"
"29",NA,NA,"HCR 3a (SESSF)","   74","  106","   95","  131","   93","  127"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","   74","  106","   95","  131","   93","  127"
"31",NA,NA,"HCR 4 (NEFMC)","   65","   91","   86","  119","   83","  115"
"32",NA,NA,"HCR 5 (Avg F)","   22","   28","   22","   28","   22","   30"
