"","System","EM","HCR","1. SS M","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","1","1","1","1","1","1"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1","1"
"3",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1","1"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1","1"
"5",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1","1"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1","1"
"7",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1","1"
"8",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1","1"
"9",NA,"Est M","HCR 1a (NPFMC)","1","1","1","1","1","1"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1","1"
"11",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1","1"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1","1"
"13",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1","1"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1","1"
"15",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1","1"
"16",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1","1"
"17","GOA","Fix M","HCR 1a (NPFMC)","1","1","1","1","1","1"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1","1"
"19",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1","1"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1","1"
"21",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1","1"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1","1"
"23",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1","1"
"24",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1","1"
"25",NA,"Est M","HCR 1a (NPFMC)","1","1","1","1","1","1"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1","1"
"27",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1","1"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1","1"
"29",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1","1"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1","1"
"31",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1","1"
"32",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1","1"
