"","System","EM","HCR","1. SS M","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.08","0.07","0.09","0.08","0.09","0.09"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.07","0.07","0.09","0.09","0.09","0.09"
"3",NA,NA,"HCR 2a (PFMC)","0.08","0.07","0.09","0.09","0.09","0.09"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.08","0.07","0.09","0.09","0.09","0.09"
"5",NA,NA,"HCR 3a (SESSF)","0.06","0.06","0.08","0.08","0.08","0.08"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.06","0.06","0.08","0.08","0.08","0.08"
"7",NA,NA,"HCR 4 (NEFMC)","0.05","0.05","0.07","0.07","0.07","0.07"
"8",NA,NA,"HCR 5 (Avg F)","0.04","0.04","0.06","0.06","0.06","0.06"
"9",NA,"Est M","HCR 1a (NPFMC)","0.09","0.07","0.13","0.1","0.12","0.1"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.07","0.11","0.09","0.11","0.1"
"11",NA,NA,"HCR 2a (PFMC)","0.08","0.07","0.12","0.1","0.12","0.11"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.08","0.07","0.12","0.1","0.12","0.11"
"13",NA,NA,"HCR 3a (SESSF)","0.06","0.06","0.09","0.08","0.09","0.08"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.06","0.06","0.08","0.08","0.08","0.08"
"15",NA,NA,"HCR 4 (NEFMC)","0.05","0.05","0.07","0.07","0.07","0.07"
"16",NA,NA,"HCR 5 (Avg F)","0.04","0.04","0.04","0.05","0.04","0.06"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.08","0.06","0.07","0.05","0.07","0.05"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.06","0.07","0.05","0.07","0.05"
"19",NA,NA,"HCR 2a (PFMC)","0.09","0.06","0.08","0.06","0.07","0.06"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.09","0.06","0.08","0.06","0.07","0.06"
"21",NA,NA,"HCR 3a (SESSF)","0.06","0.04","0.05","0.04","0.05","0.04"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.06","0.04","0.05","0.04","0.05","0.04"
"23",NA,NA,"HCR 4 (NEFMC)","0.05","0.04","0.04","0.04","0.04","0.04"
"24",NA,NA,"HCR 5 (Avg F)","0.02","0.03","0.02","0.03","0.02","0.03"
"25",NA,"Est M","HCR 1a (NPFMC)","0.09","0.06","0.14","0.11","0.12","0.1"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.06","0.14","0.11","0.12","0.1"
"27",NA,NA,"HCR 2a (PFMC)","0.09","0.07","0.17","0.13","0.15","0.12"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.09","0.07","0.17","0.13","0.15","0.12"
"29",NA,NA,"HCR 3a (SESSF)","0.06","0.04","0.1","0.07","0.09","0.07"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.06","0.04","0.1","0.07","0.09","0.07"
"31",NA,NA,"HCR 4 (NEFMC)","0.05","0.04","0.08","0.06","0.07","0.06"
"32",NA,NA,"HCR 5 (Avg F)","0.02","0.03","0.02","0.03","0.02","0.03"
