"","Species","Performance.metric","SS_OM_SS_fixM_Tier3_EM","SS_OM_SS_estM_Tier3_EM","SS_Ricker_OM_SS_fixM_Tier3_EM","SS_Ricker_OM_SS_estM_Tier3_EM","SSM_OM_SS_fixM_Tier3_EM","SSM_OM_SS_estM_Tier3_EM","SSM_Ricker_OM_SS_fixM_Tier3_EM","SSM_Ricker_OM_SS_estM_Tier3_EM","MS_OM_SS_fixM_Tier3_EM","MS_OM_SS_estM_Tier3_EM","MS_Ricker_OM_SS_fixM_Tier3_EM","MS_Ricker_OM_SS_estM_Tier3_EM"
"1","Pollock","Average Catch"," 2,120,901"," 2,308,577"," 2,586,253"," 2,985,136"," 2,443,274"," 3,358,081"," 2,828,462"," 4,422,975"," 2,743,822"," 3,450,599"," 2,906,494"," 5,778,055"
"2","Pollock","Catch IAV","0.2","0.26","0.24","0.29","0.17","0.29","0.22","0.31","0.18","0.35","0.22","0.47"
"3","Pollock","P(Closed)","0","0","0","0.01","0","0","0","0.01","0","0.02","0","0.05"
"4","Pollock","Avg terminal SSB Relative MSE","0","0.01","0","0.01","0.07","0","0.06","0","0","0.01","0.09","0"
"5","Pollock","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0.02","0","0.04"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0","0","0.01","0","0","0","0.01","0","0.01","0","0.02"
"7","Pollock","OM: P(Fy > Flimit)","0","0.39","0","0.47","0","0","0","0","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0","0.02","0","0.02","0","0.01","0","0.01","0","0","0","0.01"
"9","Pollock","OM: Terminal SSB Depletion","0.64","0.56","0.82","0.77","0.9","0.66","0.95","0.81","9.29","7.67","11.85","9.81"
"10","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.41","0.36","0.69","0.64","0.57","0.42","0.78","0.67","0.96","0.79","0.85","0.71"
"11","Cod","Average Catch","   147,134","   147,414","   172,527","   172,903","   148,073","   144,995","   173,793","   195,627","   157,714","   158,100","   186,724","   196,550"
"12","Cod","Catch IAV","0.15","0.15","0.14","0.14","0.14","0.14","0.15","0.16","0.15","0.14","0.15","0.15"
"13","Cod","P(Closed)","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Cod","Avg terminal SSB Relative MSE","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Cod","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Cod","EM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Cod","OM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Cod","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Cod","OM: Terminal SSB Depletion","0.57","0.56","0.72","0.72","0.54","0.56","0.76","0.68","0.47","0.5","0.51","0.49"
"20","Cod","OM: Terminal SSB Depletion (Dynamic)","0.41","0.41","0.67","0.67","0.4","0.41","0.68","0.62","0.61","0.65","0.63","0.61"
"21","Arrowtooth flounder","Average Catch","    33,497","    34,051","    47,487","    48,146","    38,422","    47,189","    57,213","    67,060","    39,861","    49,873","    59,161","    73,013"
"22","Arrowtooth flounder","Catch IAV","0.08","0.09","0.07","0.07","0.09","0.13","0.08","0.1","0.09","0.12","0.09","0.1"
"23","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0.01","0","0.01","0","0.01","0","0.01","0"
"25","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Arrowtooth flounder","OM: Terminal SSB Depletion","0.61","0.59","0.63","0.61","0.83","0.64","0.83","0.6","0.37","0.29","0.56","0.42"
"30","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.41","0.39","0.49","0.47","0.53","0.41","0.6","0.43","0.57","0.44","0.63","0.47"
