"","Species","Performance.metric","SS_OM_SS_fixM_Tier3_EM","SS_OM_SS_estM_Tier3_EM","SS_Ricker_OM_SS_fixM_Tier3_EM","SS_Ricker_OM_SS_estM_Tier3_EM","SSM_OM_SS_fixM_Tier3_EM","SSM_OM_SS_estM_Tier3_EM","SSM_Ricker_OM_SS_fixM_Tier3_EM","SSM_Ricker_OM_SS_estM_Tier3_EM","MS_OM_SS_fixM_Tier3_EM","MS_OM_SS_estM_Tier3_EM","MS_Ricker_OM_SS_fixM_Tier3_EM","MS_Ricker_OM_SS_estM_Tier3_EM"
"1","Pollock","Average Catch","  150,642","  181,206","  320,329","  317,720","  136,197","  119,489","  290,506","  278,394","  297,196","  508,897","  562,904","1,000,645"
"2","Pollock","Catch IAV","   18,501","   33,524","   41,978","   53,138","   15,025","   10,783","   34,782","   26,710","   26,374","   86,930","   72,161","  212,179"
"3","Pollock","P(Closed)","0","0.03","0","0.01","0.01","0","0","0","0","0.01","0","0.01"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.03","0.01","0.04","0.11","0.01","0.11","0.01","0.01","0.11","0.01","0.12"
"5","Pollock","EM: P(Fy > Flimit)","0","0.04","0","0.04","0","0.01","0","0","0","0.01","0","0.02"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.01","0","0","0","0","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.08","0.67","0.08","0.84","0.7","0.22","0.91","0.31","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.04","0.23","0","0","0.15","0.03","0","0","0","0.05","0","0"
"9","Pollock","OM: Terminal SSB Depletion","0.41","0.31","1.68","1.06","0.32","0.39","1.09","1.41","1.11","0.59","5.99","3.38"
"10","Cod","Average Catch","   27,151","   22,835","   57,878","   51,313","   19,915","   14,497","   43,499","   27,837","   28,592","   22,598","   62,001","   50,057"
"11","Cod","Catch IAV","   11,019","    6,635","   16,464","   12,415","   14,065","    2,404","   15,810","    3,804","   10,728","    5,112","   16,361","    9,537"
"12","Cod","P(Closed)","0.06","0.05","0.05","0.04","0.09","0.08","0.05","0.07","0.06","0.05","0.05","0.04"
"13","Cod","Avg terminal SSB Relative MSE","0","0.01","0","0","0.12","0","0.13","0","0.01","0.01","0.02","0"
"14","Cod","EM: P(Fy > Flimit)","0.01","0","0.01","0","0.09","0","0.09","0","0.03","0","0.02","0"
"15","Cod","EM: P(SSB < SSBlimit)","0.05","0.05","0.03","0.02","0.07","0.04","0.05","0.02","0.05","0.04","0.04","0.02"
"16","Cod","OM: P(Fy > Flimit)","0.03","0","0.02","0","0.91","0.01","0.95","0.01","0","0","0","0"
"17","Cod","OM: P(SSB < SSBlimit)","0.07","0.05","0","0","0.45","0.07","0.11","0.05","0.14","0.08","0.07","0.07"
"18","Cod","OM: Terminal SSB Depletion","0.38","0.46","0.78","0.9","0.21","0.4","0.52","0.91","0.38","0.51","0.79","1.03"
"19","Arrowtooth flounder","Average Catch","   86,367","   84,947","  122,891","  120,946","   99,426","  109,836","  135,817","  147,803","  101,707","  110,070","  135,268","  144,977"
"20","Arrowtooth flounder","Catch IAV","      612","      614","      427","      434","      506","    2,177","      411","    1,637","      493","    1,746","      417","    1,457"
"21","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0.14","0.01","0.13","0.02","0.17","0.02","0.17","0.02"
"23","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Arrowtooth flounder","OM: Terminal SSB Depletion","0.42","0.43","0.63","0.64","0.48","0.42","0.67","0.57","0.5","0.46","0.68","0.61"
