"","Species","Performance.metric","SS_OM_SS_fixM_Tier3_EM","SS_OM_SS_estM_Tier3_EM","SS_Ricker_OM_SS_fixM_Tier3_EM","SS_Ricker_OM_SS_estM_Tier3_EM","SSM_OM_SS_fixM_Tier3_EM","SSM_OM_SS_estM_Tier3_EM","SSM_Ricker_OM_SS_fixM_Tier3_EM","SSM_Ricker_OM_SS_estM_Tier3_EM","MS_OM_SS_fixM_Tier3_EM","MS_OM_SS_estM_Tier3_EM","MS_Ricker_OM_SS_fixM_Tier3_EM","MS_Ricker_OM_SS_estM_Tier3_EM"
"1","Pollock","Average Catch","  150,642","  181,206","  320,329","  317,720","  136,197","  119,489","  290,506","  278,394","  298,444","  510,883","  563,464","  998,887"
"2","Pollock","Catch IAV","0.34","0.41","0.35","0.39","0.32","0.29","0.33","0.3","0.28","0.39","0.33","0.43"
"3","Pollock","P(Closed)","0","0.03","0","0.01","0.01","0","0","0","0","0.01","0","0"
"4","Pollock","Avg terminal SSB Relative MSE","0.01","0.05","0.01","0.05","0.13","0.01","0.12","0.01","0.01","0.11","0.01","0.14"
"5","Pollock","EM: P(Fy > Flimit)","0","0.04","0","0.04","0","0.01","0","0","0","0.01","0","0.02"
"6","Pollock","EM: P(SSB < SSBlimit)","0","0.01","0","0","0","0","0","0","0","0","0","0"
"7","Pollock","OM: P(Fy > Flimit)","0.08","0.67","0.08","0.84","0.7","0.22","0.91","0.31","0","0","0","0"
"8","Pollock","OM: P(SSB < SSBlimit)","0.03","0.19","0","0","0.12","0.02","0","0","0","0.06","0","0"
"9","Pollock","OM: Terminal SSB Depletion","1.81","1.37","1.97","1.26","1.41","1.77","1.3","1.71","1.05","0.59","2.96","1.8"
"10","Pollock","OM: Terminal SSB Depletion (Dynamic)","0.42","0.32","0.46","0.3","0.33","0.41","0.36","0.48","0.95","0.54","1.11","0.64"
"11","Cod","Average Catch","   27,151","   22,835","   57,878","   51,313","   19,915","   14,497","   43,499","   27,837","   28,275","   22,567","   61,309","   49,996"
"12","Cod","Catch IAV","0.37","0.31","0.31","0.28","0.48","0.23","0.35","0.21","0.35","0.27","0.29","0.25"
"13","Cod","P(Closed)","0.06","0.05","0.05","0.04","0.09","0.08","0.05","0.07","0.06","0.05","0.04","0.04"
"14","Cod","Avg terminal SSB Relative MSE","0","0.02","0","0.01","0.15","0","0.15","0.01","0.01","0.01","0.02","0.01"
"15","Cod","EM: P(Fy > Flimit)","0.01","0","0.01","0","0.09","0","0.09","0","0.02","0","0.02","0"
"16","Cod","EM: P(SSB < SSBlimit)","0.05","0.05","0.03","0.02","0.07","0.04","0.05","0.02","0.05","0.04","0.03","0.01"
"17","Cod","OM: P(Fy > Flimit)","0.03","0","0.02","0","0.91","0.01","0.95","0.01","0","0","0","0"
"18","Cod","OM: P(SSB < SSBlimit)","0.07","0.05","0","0","0.45","0.07","0.11","0.05","0.14","0.08","0.07","0.07"
"19","Cod","OM: Terminal SSB Depletion","0.93","1.11","0.89","0.98","0.53","1.04","0.6","0.98","0.28","0.37","1.07","1.33"
"20","Cod","OM: Terminal SSB Depletion (Dynamic)","0.4","0.48","0.53","0.58","0.22","0.43","0.38","0.62","0.39","0.51","0.51","0.64"
"21","Arrowtooth flounder","Average Catch","   86,367","   84,947","  122,891","  120,946","   99,426","  109,836","  135,817","  147,803","  100,527","  109,035","  133,545","  143,185"
"22","Arrowtooth flounder","Catch IAV","0.08","0.09","0.06","0.06","0.07","0.14","0.05","0.11","0.07","0.12","0.05","0.1"
"23","Arrowtooth flounder","P(Closed)","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Arrowtooth flounder","Avg terminal SSB Relative MSE","0","0","0","0","0.14","0.01","0.14","0.01","0.19","0.01","0.17","0.01"
"25","Arrowtooth flounder","EM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Arrowtooth flounder","EM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Arrowtooth flounder","OM: P(Fy > Flimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Arrowtooth flounder","OM: P(SSB < SSBlimit)","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Arrowtooth flounder","OM: Terminal SSB Depletion","0.62","0.65","0.67","0.69","0.7","0.63","0.72","0.61","0.76","0.71","1.86","1.68"
"30","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)","0.4","0.42","0.52","0.53","0.47","0.42","0.55","0.47","0.49","0.46","0.53","0.48"
