"","Species","Performance metric","MS_OM__SS_estM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch",3031034.32140167
"2","Pollock","Catch IAV",335185.759349495
"3","Pollock","P(Closed)",0.00193798449612403
"4","Pollock","Avg terminal SSB Relative MSE",0.0124884514274297
"5","Pollock","EM: P(Fy > Flimit)",0.0232558139534884
"6","Pollock","EM: P(SSB < SSBlimit)",0.00565891472868217
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.00108527131782946
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0232926829268293
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00465116279069767
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",7.75193798449612e-05
"13","Pollock","OM: Terminal SSB/SSBtarget",0.870290587561598
"14","Cod","Average Catch",129031.482412157
"15","Cod","Catch IAV",2622.89779683919
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000516765674166128
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB/SSBtarget",0.558949375549156
"27","Arrowtooth flounder","Average Catch",31552.6594390329
"28","Arrowtooth flounder","Catch IAV",242.633731092368
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000234799106559216
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.449612511600339
