"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_ATFRdown"
"1","Pollock","Average Catch",3831304.12154482
"2","Pollock","Catch IAV",415212.481259874
"3","Pollock","P(Closed)",0.000697674418604651
"4","Pollock","Avg terminal SSB Relative MSE",0.000655159966259795
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00062015503875969
"7","Pollock","OM: P(Fy > Flimit)",8.13008130081301e-05
"8","Pollock","OM: P(SSB < SSBlimit)",0.00317829457364341
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",8.13008130081301e-05
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00255813953488372
"13","Pollock","OM: Terminal SSB/SSBtarget",0.409511454865981
"14","Cod","Average Catch",141757.977884401
"15","Cod","Catch IAV",3053.314442059
"16","Cod","P(Closed)",0
"17","Cod","Avg terminal SSB Relative MSE",0.000505147261733538
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0.317073170731707
"21","Cod","OM: P(SSB < SSBlimit)",0
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.317073170731707
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Cod","OM: Terminal SSB/SSBtarget",0.405907216796254
"27","Arrowtooth flounder","Average Catch",37772.6901169302
"28","Arrowtooth flounder","Catch IAV",934.585001216322
"29","Arrowtooth flounder","P(Closed)",0
"30","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.000390464407247037
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.357447753309369
