"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",7,9,1,7,7,31,110
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,132
"3",NA,NA,"HCR 2a (PFMC)",6,7,6,5,5,29,98
"4",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,130
"5",NA,NA,"HCR 3a (SESSF)",9,9,7,9,9,43,131
"6",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,135
"7",NA,NA,"HCR 4 (NEFMC)",7,6,5,5,5,28,104
"8",NA,NA,"HCR 5 (Avg F)",5,9,7,9,9,39,133
"9",NA,"Est M","HCR 1a (NPFMC)",3,3,2,3,1,12,45
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",7,6,6,6,6,31,80
"11",NA,NA,"HCR 2a (PFMC)",3,2,2,2,2,11,37
"12",NA,NA,"HCR 2b (Dynamic PFMC)",4,4,4,4,4,20,53
"13",NA,NA,"HCR 3a (SESSF)",7,9,7,7,7,37,109
"14",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,127
"15",NA,NA,"HCR 4 (NEFMC)",6,5,5,5,5,26,71
"16",NA,NA,"HCR 5 (Avg F)",5,12,10,12,12,51,142
"17","SS est M","Fix M","HCR 1a (NPFMC)",9,9,4,9,9,40,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"19",NA,NA,"HCR 2a (PFMC)",7,9,6,7,7,36,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,10,9,9,46,NA
"21",NA,NA,"HCR 3a (SESSF)",9,9,7,9,9,43,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"23",NA,NA,"HCR 4 (NEFMC)",10,9,6,7,7,39,NA
"24",NA,NA,"HCR 5 (Avg F)",7,11,9,11,12,50,NA
"25",NA,"Est M","HCR 1a (NPFMC)",4,7,3,3,3,20,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",8,7,7,7,7,36,NA
"27",NA,NA,"HCR 2a (PFMC)",1,1,1,1,1,5,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",5,5,1,2,3,16,NA
"29",NA,NA,"HCR 3a (SESSF)",9,9,6,9,9,42,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"31",NA,NA,"HCR 4 (NEFMC)",3,3,4,5,4,19,NA
"32",NA,NA,"HCR 5 (Avg F)",3,10,7,10,9,39,NA
"33","MS","Fix M","HCR 1a (NPFMC)",9,7,8,6,9,39,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",9,6,9,9,9,42,NA
"35",NA,NA,"HCR 2a (PFMC)",7,5,7,7,7,33,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",9,5,9,7,9,39,NA
"37",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"39",NA,NA,"HCR 4 (NEFMC)",9,7,7,7,7,37,NA
"40",NA,NA,"HCR 5 (Avg F)",7,10,9,9,9,44,NA
"41",NA,"Est M","HCR 1a (NPFMC)",4,2,2,2,3,13,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",2,2,3,3,3,13,NA
"43",NA,NA,"HCR 2a (PFMC)",5,4,4,4,4,21,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",5,3,3,3,3,17,NA
"45",NA,NA,"HCR 3a (SESSF)",9,5,6,5,5,30,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",9,7,7,7,7,37,NA
"47",NA,NA,"HCR 4 (NEFMC)",6,5,5,5,5,26,NA
"48",NA,NA,"HCR 5 (Avg F)",5,11,12,12,12,52,NA
