"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.44","0.6","0.41","0.6","0.41"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.44","0.45","0.43","0.45","0.43"
"3",NA,NA,"HCR 2a (PFMC)","0.39","0.54","0.36","0.54","0.36"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.39","0.41","0.38","0.41","0.38"
"5",NA,NA,"HCR 3a (SESSF)","0.51","0.7","0.46","0.7","0.46"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.51","0.53","0.5","0.53","0.5"
"7",NA,NA,"HCR 4 (NEFMC)","0.47","0.6","0.39","0.6","0.39"
"8",NA,NA,"HCR 5 (Avg F)","0.45","1.07","0.71","0.66","0.44"
"9",NA,"Est M","HCR 1a (NPFMC)","0.42","0.58","0.39","0.58","0.39"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.42","0.44","0.41","0.44","0.41"
"11",NA,NA,"HCR 2a (PFMC)","0.37","0.51","0.34","0.51","0.34"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.37","0.39","0.36","0.39","0.36"
"13",NA,NA,"HCR 3a (SESSF)","0.49","0.67","0.45","0.67","0.45"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.49","0.51","0.48","0.51","0.48"
"15",NA,NA,"HCR 4 (NEFMC)","0.48","0.57","0.38","0.57","0.38"
"16",NA,NA,"HCR 5 (Avg F)","0.45","0.72","0.48","0.72","0.48"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.54","0.76","0.48","0.76","0.48"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.55","0.57","0.55","0.57","0.55"
"19",NA,NA,"HCR 2a (PFMC)","0.5","0.7","0.43","0.7","0.43"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.51","0.52","0.49","0.52","0.49"
"21",NA,NA,"HCR 3a (SESSF)","0.61","0.85","0.53","0.85","0.53"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.62","0.63","0.61","0.63","0.61"
"23",NA,NA,"HCR 4 (NEFMC)","0.58","0.76","0.47","0.76","0.47"
"24",NA,NA,"HCR 5 (Avg F)","0.56","1.16","0.73","0.85","0.53"
"25",NA,"Est M","HCR 1a (NPFMC)","0.42","0.58","0.38","0.58","0.38"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.42","0.44","0.41","0.44","0.41"
"27",NA,NA,"HCR 2a (PFMC)","0.34","0.48","0.3","0.48","0.3"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.34","0.36","0.33","0.36","0.33"
"29",NA,NA,"HCR 3a (SESSF)","0.49","0.69","0.43","0.69","0.43"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.5","0.51","0.49","0.51","0.49"
"31",NA,NA,"HCR 4 (NEFMC)","0.55","0.58","0.36","0.58","0.36"
"32",NA,NA,"HCR 5 (Avg F)","0.49","0.89","0.55","0.89","0.55"
"33","MS","Fix M","HCR 1a (NPFMC)","0.53","0.6","0.49","0.61","0.49"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.52","0.6","0.48","0.61","0.48"
"35",NA,NA,"HCR 2a (PFMC)","0.46","0.53","0.42","0.54","0.42"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.46","0.53","0.42","0.54","0.42"
"37",NA,NA,"HCR 3a (SESSF)","0.6","0.68","0.55","0.69","0.55"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.6","0.68","0.55","0.69","0.55"
"39",NA,NA,"HCR 4 (NEFMC)","0.54","0.6","0.48","0.61","0.48"
"40",NA,NA,"HCR 5 (Avg F)","0.54","1.02","0.85","1.04","0.84"
"41",NA,"Est M","HCR 1a (NPFMC)","0.52","0.6","0.48","0.6","0.48"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.52","0.6","0.47","0.6","0.47"
"43",NA,NA,"HCR 2a (PFMC)","0.45","0.52","0.41","0.53","0.41"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.45","0.52","0.41","0.53","0.41"
"45",NA,NA,"HCR 3a (SESSF)","0.6","0.69","0.55","0.69","0.55"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.6","0.69","0.55","0.69","0.54"
"47",NA,NA,"HCR 4 (NEFMC)","0.59","0.6","0.47","0.6","0.47"
"48",NA,NA,"HCR 5 (Avg F)","0.55","1.02","0.85","1.04","0.84"
