"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.37","0.61","0.37","0.45","0.44"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.41","0.42","0.4","0.41","0.41"
"3",NA,NA,"HCR 2a (PFMC)","0.43","0.7","0.41","0.5","0.5"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.46","0.48","0.45","0.46","0.46"
"5",NA,NA,"HCR 3a (SESSF)","0.46","0.74","0.44","0.54","0.54"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.49","0.5","0.47","0.48","0.48"
"7",NA,NA,"HCR 4 (NEFMC)","0.37","0.6","0.35","0.43","0.43"
"8",NA,NA,"HCR 5 (Avg F)","0.49","0.8","0.46","0.57","0.57"
"9",NA,"Est M","HCR 1a (NPFMC)","0.46","0.74","0.45","0.55","0.55"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.51","0.51","0.5","0.51","0.51"
"11",NA,NA,"HCR 2a (PFMC)","0.56","0.88","0.53","0.64","0.64"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.61","0.62","0.6","0.61","0.61"
"13",NA,NA,"HCR 3a (SESSF)","0.51","0.82","0.5","0.61","0.6"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.58","0.59","0.57","0.58","0.58"
"15",NA,NA,"HCR 4 (NEFMC)","0.46","0.73","0.43","0.53","0.53"
"16",NA,NA,"HCR 5 (Avg F)","0.49","0.78","0.46","0.57","0.57"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.2","0.35","0.23","0.26","0.26"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.2","0.22","0.19","0.2","0.2"
"19",NA,NA,"HCR 2a (PFMC)","0.23","0.41","0.25","0.3","0.3"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.25","0.26","0.23","0.25","0.25"
"21",NA,NA,"HCR 3a (SESSF)","0.25","0.45","0.29","0.34","0.34"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.26","0.28","0.25","0.26","0.26"
"23",NA,NA,"HCR 4 (NEFMC)","0.19","0.33","0.2","0.24","0.24"
"24",NA,NA,"HCR 5 (Avg F)","0.26","0.46","0.27","0.33","0.33"
"25",NA,"Est M","HCR 1a (NPFMC)","0.41","0.68","0.43","0.51","0.51"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.42","0.44","0.41","0.42","0.42"
"27",NA,NA,"HCR 2a (PFMC)","0.49","0.81","0.5","0.6","0.6"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.51","0.53","0.5","0.51","0.51"
"29",NA,NA,"HCR 3a (SESSF)","0.48","0.79","0.49","0.58","0.58"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.5","0.52","0.49","0.5","0.5"
"31",NA,NA,"HCR 4 (NEFMC)","0.4","0.68","0.41","0.5","0.5"
"32",NA,NA,"HCR 5 (Avg F)","0.25","0.45","0.27","0.33","0.33"
"33","MS","Fix M","HCR 1a (NPFMC)","0.36","0.44","0.36","0.37","0.4"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.36","0.45","0.34","0.37","0.4"
"35",NA,NA,"HCR 2a (PFMC)","0.42","0.52","0.4","0.43","0.46"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.52","0.4","0.43","0.46"
"37",NA,NA,"HCR 3a (SESSF)","0.43","0.52","0.42","0.43","0.47"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.43","0.52","0.4","0.43","0.46"
"39",NA,NA,"HCR 4 (NEFMC)","0.36","0.44","0.34","0.36","0.39"
"40",NA,NA,"HCR 5 (Avg F)","0.43","0.52","0.41","0.43","0.47"
"41",NA,"Est M","HCR 1a (NPFMC)","0.5","0.6","0.49","0.51","0.54"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.5","0.6","0.48","0.51","0.55"
"43",NA,NA,"HCR 2a (PFMC)","0.62","0.74","0.59","0.63","0.67"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.63","0.75","0.59","0.63","0.67"
"45",NA,NA,"HCR 3a (SESSF)","0.55","0.65","0.53","0.55","0.59"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.56","0.67","0.53","0.56","0.61"
"47",NA,NA,"HCR 4 (NEFMC)","0.51","0.6","0.48","0.51","0.55"
"48",NA,NA,"HCR 5 (Avg F)","0.43","0.51","0.41","0.43","0.47"
