"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.26","0.29","0.19","0.26","0.26"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.12","0.1","0.15","0.12","0.13"
"3",NA,NA,"HCR 2a (PFMC)","0.41","0.37","0.38","0.42","0.41"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.49","0.41","0.52","0.48","0.48"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","1","0.99","1","1","0.99"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0.03","0.03","0.03","0.03","0.03"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"17","SS est M","Fix M","HCR 1a (NPFMC)","1","1","0.99","1","1"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1"
"19",NA,NA,"HCR 2a (PFMC)","0.98","0.98","0.98","0.98","0.98"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1"
"21",NA,NA,"HCR 3a (SESSF)","0.02","0.02","0.02","0.03","0.03"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.03","0.03","0.03","0.03","0.03"
"23",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1"
"24",NA,NA,"HCR 5 (Avg F)","0.01","0.69","0.81","0.75","0.74"
"25",NA,"Est M","HCR 1a (NPFMC)","0.12","0.11","0.11","0.12","0.12"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.05","0.05","0.05","0.05","0.05"
"27",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"29",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"31",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"32",NA,NA,"HCR 5 (Avg F)","0.01","0.9","0.94","0.92","0.92"
"33","MS","Fix M","HCR 1a (NPFMC)","0","0","0","0","0"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"35",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"37",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"39",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.02","0.02","0.02"
"40",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"41",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"43",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"45",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"47",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"48",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
