"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.01","0","0.02","0.01","0.01"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"8",NA,NA,"HCR 5 (Avg F)","0.02","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.03","0.02","0.02"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.03","0.02","0.02"
"11",NA,NA,"HCR 2a (PFMC)","0.07","0.06","0.08","0.07","0.07"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.07","0.06","0.08","0.07","0.07"
"13",NA,NA,"HCR 3a (SESSF)","0.02","0.02","0.03","0.02","0.02"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.04","0.03","0.04","0.04","0.04"
"15",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.03","0.02","0.02"
"16",NA,NA,"HCR 5 (Avg F)","0.02","0.02","0.03","0.03","0.03"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.16","0.15","0.19","0.15","0.15"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.12","0.12","0.12","0.12","0.12"
"19",NA,NA,"HCR 2a (PFMC)","0.15","0.14","0.15","0.14","0.14"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.14","0.14","0.13","0.14","0.14"
"21",NA,NA,"HCR 3a (SESSF)","0.17","0.16","0.19","0.17","0.16"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.15","0.16","0.15","0.15","0.15"
"23",NA,NA,"HCR 4 (NEFMC)","0.11","0.12","0.11","0.11","0.11"
"24",NA,NA,"HCR 5 (Avg F)","0.24","0.18","0.18","0.18","0.18"
"25",NA,"Est M","HCR 1a (NPFMC)","0.01","0","0.01","0.01","0.01"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"27",NA,NA,"HCR 2a (PFMC)","0.01","0.01","0.01","0.01","0.01"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.01","0.01","0.01","0.01","0.01"
"29",NA,NA,"HCR 3a (SESSF)","0.01","0.02","0.02","0.01","2.05"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.01","0.01","0.01","0.01","0.01"
"31",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"32",NA,NA,"HCR 5 (Avg F)","0.02","0","0","0","0"
"33","MS","Fix M","HCR 1a (NPFMC)","0.03","0.03","0.03","0.03","0.03"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02"
"35",NA,NA,"HCR 2a (PFMC)","0.03","0.03","0.03","0.03","0.03"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.03","0.02","0.02","0.03"
"37",NA,NA,"HCR 3a (SESSF)","0.03","0.03","0.03","0.03","0.03"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.02","0.02","0.02","0.02","0.02"
"39",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.02","0.02","0.02"
"40",NA,NA,"HCR 5 (Avg F)","0.01","0.02","0.03","0.03","0.03"
"41",NA,"Est M","HCR 1a (NPFMC)","0.01","0.01","0.01","0.01","0.01"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.01","0.01","0.01","0.01","0.01"
"43",NA,NA,"HCR 2a (PFMC)","0.04","0.04","0.04","0.04","0.04"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.04","0.04","0.04","0.04","0.04"
"45",NA,NA,"HCR 3a (SESSF)","0.01","0","0.01","0.01","0.01"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.01","0.01","0.02","0.01","0.01"
"47",NA,NA,"HCR 4 (NEFMC)","0.01","0.01","0.02","0.02","0.01"
"48",NA,NA,"HCR 5 (Avg F)","0.04","0.01","0.01","0.01","0.01"
