"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.02","0.03","0.02","0.02","0.02"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0.03","0.04","0.02","0.03","0.03"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"5",NA,NA,"HCR 3a (SESSF)","0.03","0.03","0.03","0.03","0.03"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0.03","0.03","0.02","0.03","0.04"
"8",NA,NA,"HCR 5 (Avg F)","0.01","0.03","0.03","0.03","0.03"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.29","0.27","0.26","0.29","0.29"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.25","0.18","0.32","0.25","0.25"
"19",NA,NA,"HCR 2a (PFMC)","0.49","0.42","0.46","0.48","0.48"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.46","0.35","0.56","0.46","0.46"
"21",NA,NA,"HCR 3a (SESSF)","0.21","0.2","0.18","0.21","0.22"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.13","0.1","0.17","0.13","0.13"
"23",NA,NA,"HCR 4 (NEFMC)","0.43","0.38","0.41","0.44","0.43"
"24",NA,NA,"HCR 5 (Avg F)","0.08","0.12","0.17","0.15","0.14"
"25",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.02","0.02","0.02"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02"
"27",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"29",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"31",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"32",NA,NA,"HCR 5 (Avg F)","0","0.03","0","0","0"
"33","MS","Fix M","HCR 1a (NPFMC)","0.12","0.06","0.13","0.12","0.09"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.16","0.09","0.2","0.17","0.12"
"35",NA,NA,"HCR 2a (PFMC)","0.05","0.01","0.03","0.02","0.02"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.1","0.05","0.09","0.08","0.06"
"37",NA,NA,"HCR 3a (SESSF)","0.09","0.01","0.03","0.03","0.02"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.11","0.04","0.09","0.07","0.06"
"39",NA,NA,"HCR 4 (NEFMC)","0.11","0.05","0.14","0.11","0.08"
"40",NA,NA,"HCR 5 (Avg F)","0.06","0.02","0.06","0.05","0.03"
"41",NA,"Est M","HCR 1a (NPFMC)","0.06","0","0.01","0.01","0"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.01","0.01","0.01","0.01"
"43",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.06","0","0","0","0"
"45",NA,NA,"HCR 3a (SESSF)","0.07","0","0","0","0"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.08","0","0","0","0"
"47",NA,NA,"HCR 4 (NEFMC)","0.03","0","0","0","0"
"48",NA,NA,"HCR 5 (Avg F)","0.04","0.01","0.02","0.02","0.01"
