"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.03","0.03","0.04","0.03","0.03"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0.06","0.06","0.11","0.06","0.06"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"5",NA,NA,"HCR 3a (SESSF)",NA,"0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)",NA,"0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)",NA,"0.05","0.11","0.06","0.06"
"8",NA,NA,"HCR 5 (Avg F)",NA,"0.03","0.03","0.02","0.02"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0.06","0.06","0.08","0.06","0.06"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)",NA,"0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)",NA,"0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)",NA,"0.05","0.08","0.05","0.05"
"16",NA,NA,"HCR 5 (Avg F)",NA,"0.05","0.07","0.05","0.05"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.06","0.05","0.07","0.06","0.06"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.05","0.05","0.05","0.05","0.05"
"19",NA,NA,"HCR 2a (PFMC)","0.1","0.08","0.18","0.1","0.1"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.05","0.05","0.05","0.05","0.05"
"21",NA,NA,"HCR 3a (SESSF)",NA,"0.01","0.02","0.02","0.02"
"22",NA,NA,"HCR 3b (Dynamic SESSF)",NA,"0.03","0.03","0.03","0.03"
"23",NA,NA,"HCR 4 (NEFMC)",NA,"0.09","0.23","0.12","0.12"
"24",NA,NA,"HCR 5 (Avg F)",NA,"0.06","0.08","0.07","0.07"
"25",NA,"Est M","HCR 1a (NPFMC)","0.07","0.07","0.08","0.07","0.07"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"27",NA,NA,"HCR 2a (PFMC)","0.1","0.1","0.11","0.1","0.1"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.07","0.07","0.07","0.07","0.07"
"29",NA,NA,"HCR 3a (SESSF)",NA,"0.1","0.11","0.1","0.11"
"30",NA,NA,"HCR 3b (Dynamic SESSF)",NA,"0.07","0.07","0.07","0.07"
"31",NA,NA,"HCR 4 (NEFMC)",NA,"0.1","0.12","0.1","0.1"
"32",NA,NA,"HCR 5 (Avg F)",NA,"0.16","0.6","0.3","0.29"
"33","MS","Fix M","HCR 1a (NPFMC)","0.03","0.03","0.04","0.03","0.03"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"35",NA,NA,"HCR 2a (PFMC)","0.06","0.06","0.09","0.07","0.06"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.01","0","0","0","0"
"37",NA,NA,"HCR 3a (SESSF)",NA,"0.01","0.01","0.01","0.01"
"38",NA,NA,"HCR 3b (Dynamic SESSF)",NA,"0","0","0","0"
"39",NA,NA,"HCR 4 (NEFMC)",NA,"0.06","0.09","0.08","0.06"
"40",NA,NA,"HCR 5 (Avg F)",NA,"0.05","0.05","0.05","0.05"
"41",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.01","0.02","0.02"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"43",NA,NA,"HCR 2a (PFMC)","0.08","0.08","0.09","0.09","0.08"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.02","0.02","0.02"
"45",NA,NA,"HCR 3a (SESSF)",NA,"0","0","0","0"
"46",NA,NA,"HCR 3b (Dynamic SESSF)",NA,"0","0","0","0"
"47",NA,NA,"HCR 4 (NEFMC)",NA,"0.06","0.06","0.06","0.06"
"48",NA,NA,"HCR 5 (Avg F)",NA,"0.06","0.09","0.08","0.07"
