"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0","0","0","0","0"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0","0.01","0","0.01","0"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0.01","0","0.01","0"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"11",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.13","0.14","0.13","0.14","0.13"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.13","0.14","0.13","0.13","0.13"
"19",NA,NA,"HCR 2a (PFMC)","0.15","0.15","0.14","0.15","0.14"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.15","0.15","0.14","0.15","0.14"
"21",NA,NA,"HCR 3a (SESSF)","0.12","0.12","0.12","0.12","0.12"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.12","0.12","0.12","0.12","0.12"
"23",NA,NA,"HCR 4 (NEFMC)","0.14","0.14","0.13","0.14","0.13"
"24",NA,NA,"HCR 5 (Avg F)","0.13","0.09","0.09","0.09","0.09"
"25",NA,"Est M","HCR 1a (NPFMC)","0.01","0.01","0.01","0.01","0.01"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.01","0.01","0.01","0.01","0.01"
"27",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.02","0.02","0.02"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.02","0.02","0.02"
"29",NA,NA,"HCR 3a (SESSF)","0.01","0.01","0.01","0.01","0.01"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.01","0.01","0.01","0.01","0.01"
"31",NA,NA,"HCR 4 (NEFMC)","0.01","0.01","0.01","0.01","0.01"
"32",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"33","MS","Fix M","HCR 1a (NPFMC)","0.17","0.16","0.16","0.16","0.16"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.17","0.16","0.16","0.16","0.16"
"35",NA,NA,"HCR 2a (PFMC)","0.19","0.18","0.18","0.18","0.18"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.19","0.18","0.18","0.18","0.18"
"37",NA,NA,"HCR 3a (SESSF)","0.15","0.15","0.15","0.15","0.15"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.15","0.15","0.15","0.15","0.15"
"39",NA,NA,"HCR 4 (NEFMC)","0.17","0.17","0.17","0.17","0.17"
"40",NA,NA,"HCR 5 (Avg F)","0.14","0.1","0.11","0.1","0.11"
"41",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.01","0.02","0.01"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02"
"43",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.02","0.02","0.02"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.02","0.02","0.02"
"45",NA,NA,"HCR 3a (SESSF)","0.01","0.01","0.01","0.01","0.01"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.01","0.01","0.01","0.01","0.01"
"47",NA,NA,"HCR 4 (NEFMC)","0.01","0.01","0.01","0.01","0.01"
"48",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
