"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0","0","0.02","0","0.02"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0.03","0.03","0.03","0.02","0.03"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.03","0.03","0.03","0.02","0.03"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0.32","0.23","0.7","0.23","0.71"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0.08","0.07","0.07","0.07","0.07"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.07","0.07","0.07","0.07","0.07"
"11",NA,NA,"HCR 2a (PFMC)","0.13","0.12","0.13","0.12","0.13"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.13","0.12","0.13","0.12","0.13"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0.21","0.2","0.21","0.2","0.21"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0","0","0","0","0"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"19",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"21",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"23",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"24",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"25",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"27",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"29",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"31",NA,NA,"HCR 4 (NEFMC)","0.1","0.1","0.1","0.09","0.1"
"32",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"33","MS","Fix M","HCR 1a (NPFMC)","0","0","0","0","0"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"35",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"37",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"39",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"40",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"41",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"43",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"45",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"47",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"48",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
