"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","1","1","0.98","1","1"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1"
"3",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1"
"5",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1"
"7",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1"
"8",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1"
"9",NA,"Est M","HCR 1a (NPFMC)","0.99","1","0.97","0.99","0.99"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1"
"11",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1"
"13",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1"
"15",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1"
"16",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1"
"17","SS est M","Fix M","HCR 1a (NPFMC)","1","1","0.98","1","1"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1"
"19",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1"
"21",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1"
"23",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1"
"24",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1"
"25",NA,"Est M","HCR 1a (NPFMC)","0.99","1","0.98","0.99","0.99"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1"
"27",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1"
"29",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1"
"31",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1"
"32",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1"
"33","MS","Fix M","HCR 1a (NPFMC)","1","1","1","1","1"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1"
"35",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1"
"37",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1"
"39",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1"
"40",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1"
"41",NA,"Est M","HCR 1a (NPFMC)","1","0.99","0.99","0.98","1"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","1","1","1","1","1"
"43",NA,NA,"HCR 2a (PFMC)","1","1","1","1","1"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","1","1","1","1","1"
"45",NA,NA,"HCR 3a (SESSF)","1","1","1","1","1"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","1","1","1","1","1"
"47",NA,NA,"HCR 4 (NEFMC)","1","1","1","1","1"
"48",NA,NA,"HCR 5 (Avg F)","1","1","1","1","1"
