"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.69","0.46","0.81","0.64","0.64"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.66","0.6","0.72","0.66","0.65"
"3",NA,NA,"HCR 2a (PFMC)","0.07","0.07","0.08","0.08","0.07"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.08","0.07","0.09","0.08","0.08"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0.96","0.94","0.98","0.96","0.96"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0.91","0.84","0.93","0.89","0.88"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.91","0.9","0.92","0.91","0.9"
"11",NA,NA,"HCR 2a (PFMC)","0.93","0.96","0.9","0.94","0.93"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.95","0.96","0.96","0.96","0.95"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"15",NA,NA,"HCR 4 (NEFMC)","0.99","0.99","0.99","0.99","0.99"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.71","0.47","0.81","0.67","0.67"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.7","0.61","0.75","0.69","0.7"
"19",NA,NA,"HCR 2a (PFMC)","0.12","0.1","0.13","0.12","0.12"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.13","0.1","0.14","0.13","0.13"
"21",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"23",NA,NA,"HCR 4 (NEFMC)","0.95","0.93","0.97","0.95","0.95"
"24",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"25",NA,"Est M","HCR 1a (NPFMC)","0.47","0.24","0.49","0.42","0.41"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.25","0.28","0.32","0.24","0.25"
"27",NA,NA,"HCR 2a (PFMC)","0.73","0.46","0.44","0.44","0.42"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.36","0.41","0.45","0.42","0.44"
"29",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"31",NA,NA,"HCR 4 (NEFMC)","0.51","0.52","0.54","0.55","0.52"
"32",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"33","MS","Fix M","HCR 1a (NPFMC)","0","0","0","0","0"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"35",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"37",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"39",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"40",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
"41",NA,"Est M","HCR 1a (NPFMC)","0","0","0","0","0"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0","0","0","0","0"
"43",NA,NA,"HCR 2a (PFMC)","0","0","0","0","0"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0"
"45",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0"
"47",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0"
"48",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0"
