"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.01","0.01","0.01","0.01","0.01"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.01","0.01","0.01","0.01","0.01"
"3",NA,NA,"HCR 2a (PFMC)","0.01","0.01","0.01","0.01","0.01"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.01","0.01","0.01","0.01","0.01"
"5",NA,NA,"HCR 3a (SESSF)","0.01","0.01","0.01","0.01","0.01"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.01","0.01","0.01","0.01","0.01"
"7",NA,NA,"HCR 4 (NEFMC)","0.01","0.01","0.01","0.01","0.01"
"8",NA,NA,"HCR 5 (Avg F)","0.01","0.01","0.01","0.01","0.01"
"9",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.03","0.02","0.02"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02"
"11",NA,NA,"HCR 2a (PFMC)","0.08","0.1","0.08","0.08","0.08"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.08","0.1","0.07","0.08","0.08"
"13",NA,NA,"HCR 3a (SESSF)","0.05","0.05","0.05","0.04","0.05"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.04","0.05","0.03","0.04","0.04"
"15",NA,NA,"HCR 4 (NEFMC)","0.01","0.02","0.01","0.02","0.02"
"16",NA,NA,"HCR 5 (Avg F)","0.41","0.43","0.39","0.39","0.39"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.02","0.02","0.02","0.02","0.02"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02"
"19",NA,NA,"HCR 2a (PFMC)","0.03","0.02","0.03","0.03","0.03"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.03","0.02","0.02","0.02","0.03"
"21",NA,NA,"HCR 3a (SESSF)","0.02","0.02","0.02","0.02","0.02"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.02","0.02","0.02","0.02","0.02"
"23",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.02","0.02","0.02"
"24",NA,NA,"HCR 5 (Avg F)","0.02","0.02","0.02","0.02","0.02"
"25",NA,"Est M","HCR 1a (NPFMC)","0.01","0.01","0.01","0.01","0.01"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.01","0.01","0.01","0.01","0.01"
"27",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.02","0.02","0.02"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.01","0.02","0.02","0.02","0.02"
"29",NA,NA,"HCR 3a (SESSF)","0.01","0.01","0.03","0.01","0.02"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.01","0.01","0.01","0.01","0.01"
"31",NA,NA,"HCR 4 (NEFMC)","0.01","0.01","0.01","0.01","0.01"
"32",NA,NA,"HCR 5 (Avg F)","0.05","0.06","0.04","0.05","0.05"
"33","MS","Fix M","HCR 1a (NPFMC)","0.02","0.02","0.02","0.02","0.02"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.02","0.02","0.02"
"35",NA,NA,"HCR 2a (PFMC)","0.05","0.04","0.05","0.05","0.05"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.05","0.04","0.05","0.04","0.05"
"37",NA,NA,"HCR 3a (SESSF)","0.04","0.04","0.04","0.04","0.04"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.04","0.04","0.04","0.04","0.04"
"39",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.02","0.02","0.02"
"40",NA,NA,"HCR 5 (Avg F)","0.09","0.1","0.09","0.11","0.09"
"41",NA,"Est M","HCR 1a (NPFMC)","0.07","0.05","0.07","0.05","0.08"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.07","0.05","0.07","0.04","0.09"
"43",NA,NA,"HCR 2a (PFMC)","0.14","0.11","0.15","0.1","0.16"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.14","0.11","0.14","0.09","0.16"
"45",NA,NA,"HCR 3a (SESSF)","0.08","0.06","0.08","0.06","0.09"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.08","0.06","0.09","0.04","0.1"
"47",NA,NA,"HCR 4 (NEFMC)","0.06","0.04","0.06","0.03","0.07"
"48",NA,NA,"HCR 5 (Avg F)","0.23","0.31","0.18","0.3","0.17"
