"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.2","0.24","0.17","0.22","0.18","0.22"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.16","0.2","0.14","0.19","0.17","0.21"
"3",NA,NA,"HCR 2a (PFMC)","0.15","0.19","0.14","0.18","0.15","0.19"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.14","0.19","0.13","0.18","0.15","0.2"
"5",NA,NA,"HCR 3a (SESSF)","0.16","0.2","0.14","0.18","0.15","0.2"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.12","0.18","0.12","0.17","0.14","0.2"
"7",NA,NA,"HCR 4 (NEFMC)","0.11","0.15","0.11","0.15","0.13","0.17"
"8",NA,NA,"HCR 5 (Avg F)","0.09","0.12","0.09","0.13","0.1","0.14"
"9",NA,"Est M","HCR 1a (NPFMC)","0.26","0.29","0.29","0.31","0.35","0.47"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.21","0.25","0.24","0.28","0.31","0.43"
"11",NA,NA,"HCR 2a (PFMC)","0.2","0.23","0.23","0.26","0.27","0.39"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.19","0.23","0.22","0.26","0.27","0.39"
"13",NA,NA,"HCR 3a (SESSF)","0.21","0.25","0.23","0.27","0.26","0.41"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.16","0.22","0.18","0.25","0.24","0.38"
"15",NA,NA,"HCR 4 (NEFMC)","0.14","0.18","0.16","0.21","0.21","0.32"
"16",NA,NA,"HCR 5 (Avg F)","0.09","0.12","0.09","0.13","0.1","0.15"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.34","0.35","0.32","0.33","0.28","0.33"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.34","0.35","0.32","0.33","0.28","0.33"
"19",NA,NA,"HCR 2a (PFMC)","0.31","0.33","0.3","0.32","0.27","0.32"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.32","0.33","0.3","0.32","0.27","0.32"
"21",NA,NA,"HCR 3a (SESSF)","0.33","0.32","0.31","0.31","0.26","0.32"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.31","0.32","0.29","0.31","0.26","0.32"
"23",NA,NA,"HCR 4 (NEFMC)","0.28","0.3","0.27","0.29","0.25","0.3"
"24",NA,NA,"HCR 5 (Avg F)","0.3","0.32","0.29","0.31","0.26","0.32"
"25",NA,"Est M","HCR 1a (NPFMC)","0.41","0.39","0.29","0.3","0.39","0.43"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.38","0.39","0.28","0.3","0.39","0.45"
"27",NA,NA,"HCR 2a (PFMC)","0.36","0.37","0.27","0.28","0.36","0.41"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.36","0.37","0.27","0.28","0.36","0.41"
"29",NA,NA,"HCR 3a (SESSF)","0.41","0.38","0.29","0.28","0.37","0.41"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.36","0.36","0.26","0.28","0.35","0.42"
"31",NA,NA,"HCR 4 (NEFMC)","0.33","0.34","0.24","0.26","0.32","0.37"
"32",NA,NA,"HCR 5 (Avg F)","0.3","0.32","0.28","0.29","0.26","0.32"
