"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.02","0.02","0.26","0.25","0.07","0.29"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.02","0.02","0.25","0.25","0.07","0.29"
"3",NA,NA,"HCR 2a (PFMC)","0.02","0.02","0.26","0.26","0.07","0.29"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.02","0.02","0.26","0.26","0.07","0.29"
"5",NA,NA,"HCR 3a (SESSF)","0.02","0.02","0.27","0.27","0.07","0.29"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.02","0.02","0.27","0.27","0.07","0.29"
"7",NA,NA,"HCR 4 (NEFMC)","0.02","0.02","0.28","0.28","0.07","0.29"
"8",NA,NA,"HCR 5 (Avg F)","0.03","0.02","0.29","0.29","0.07","0.31"
"9",NA,"Est M","HCR 1a (NPFMC)","0.11","0.11","0.03","0.02","0.12","0.07"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.1","0.11","0.02","0.03","0.12","0.07"
"11",NA,NA,"HCR 2a (PFMC)","0.12","0.12","0.03","0.02","0.13","0.08"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.12","0.12","0.03","0.03","0.13","0.08"
"13",NA,NA,"HCR 3a (SESSF)","0.14","0.14","0.03","0.03","0.16","0.1"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.14","0.14","0.03","0.03","0.16","0.1"
"15",NA,NA,"HCR 4 (NEFMC)","0.15","0.16","0.03","0.03","0.17","0.1"
"16",NA,NA,"HCR 5 (Avg F)","0.16","0.16","0.04","0.04","0.25","0.29"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.08","0.08","0.36","0.35","0.12","0.09"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.08","0.09","0.35","0.35","0.12","0.09"
"19",NA,NA,"HCR 2a (PFMC)","0.09","0.09","0.39","0.37","0.14","0.1"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.08","0.1","0.38","0.38","0.14","0.1"
"21",NA,NA,"HCR 3a (SESSF)","0.08","0.08","0.4","0.39","0.17","0.12"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.09","0.09","0.4","0.39","0.18","0.12"
"23",NA,NA,"HCR 4 (NEFMC)","0.09","0.09","0.44","0.41","0.24","0.18"
"24",NA,NA,"HCR 5 (Avg F)","0.09","0.09","0.42","0.39","0.26","0.21"
"25",NA,"Est M","HCR 1a (NPFMC)","0.22","0.23","0.1","0.11","0.34","0.38"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.22","0.24","0.1","0.12","0.34","0.4"
"27",NA,NA,"HCR 2a (PFMC)","0.24","0.27","0.12","0.13","0.39","0.48"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.24","0.26","0.12","0.13","0.39","0.47"
"29",NA,NA,"HCR 3a (SESSF)","0.29","0.3","0.14","0.15","0.39","0.42"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.3","0.31","0.13","0.14","0.39","0.44"
"31",NA,NA,"HCR 4 (NEFMC)","0.39","0.43","0.14","0.14","0.44","0.47"
"32",NA,NA,"HCR 5 (Avg F)","0.67","0.73","0.1","0.13","0.39","0.6"
