"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0","0","0","0","0","0"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.01","0.01","0","0.01","0","0"
"3",NA,NA,"HCR 2a (PFMC)","0.02","0","0","0","0","0"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0","0","0","0","0","0"
"5",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0","0"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0"
"7",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0"
"8",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"9",NA,"Est M","HCR 1a (NPFMC)","0.02","0.02","0.01","0.01","0","0.01"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.03","0.03","0.03","0.05","0","0.01"
"11",NA,NA,"HCR 2a (PFMC)","0.1","0","0.04","0","0","0.01"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.01","0","0","0","0","0.01"
"13",NA,NA,"HCR 3a (SESSF)","0","0","0","0","0","0.01"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0","0","0.01"
"15",NA,NA,"HCR 4 (NEFMC)","0","0","0","0","0","0.01"
"16",NA,NA,"HCR 5 (Avg F)","0","0","0","0","0","0"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.03","0","0.12","0","0","0"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.31","0.55","0.54","0.75","0","0"
"19",NA,NA,"HCR 2a (PFMC)","0.08","0","0.25","0","0","0"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0","0.07","0.07","0.19","0","0"
"21",NA,NA,"HCR 3a (SESSF)","0","0","0.04","0","0","0"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0","0","0","0.07","0","0"
"23",NA,NA,"HCR 4 (NEFMC)","0","0","0.02","0","0","0"
"24",NA,NA,"HCR 5 (Avg F)","0.04","0","0.04","0","0","0"
"25",NA,"Est M","HCR 1a (NPFMC)","0.19","0","0.02","0","0.06","0"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.61","0.84","0.28","0.53","0.07","0"
"27",NA,NA,"HCR 2a (PFMC)","0.35","0","0.08","0","0.04","0"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.21","0.45","0","0.11","0.04","0"
"29",NA,NA,"HCR 3a (SESSF)","0.1","0","0","0","0.03","0"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.05","0.2","0","0.06","0.03","0"
"31",NA,NA,"HCR 4 (NEFMC)","0.1","0","0","0","0.02","0"
"32",NA,NA,"HCR 5 (Avg F)","0.08","0","0.04","0","0","0"
