"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.42","0.82","0.57","0.95","1.08","0.98"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.82","0.56","0.95","1.07","0.97"
"3",NA,NA,"HCR 2a (PFMC)","0.44","0.86","0.6","0.98","1.14","0.95"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.86","0.6","0.98","1.14","0.95"
"5",NA,NA,"HCR 3a (SESSF)","0.49","0.9","0.65","1.02","1.19","0.97"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","0.9","0.64","1.02","1.19","0.97"
"7",NA,NA,"HCR 4 (NEFMC)","0.53","0.94","0.68","1.05","1.21","1.01"
"8",NA,NA,"HCR 5 (Avg F)","0.64","1.02","0.77","1.11","1.54","1.21"
"9",NA,"Est M","HCR 1a (NPFMC)","0.37","0.77","0.42","0.81","0.88","0.8"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.36","0.76","0.41","0.8","0.88","0.8"
"11",NA,NA,"HCR 2a (PFMC)","0.38","0.79","0.44","0.83","0.93","0.82"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.38","0.79","0.44","0.83","0.93","0.82"
"13",NA,NA,"HCR 3a (SESSF)","0.42","0.83","0.5","0.89","0.98","0.87"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.42","0.83","0.49","0.89","0.98","0.88"
"15",NA,NA,"HCR 4 (NEFMC)","0.45","0.86","0.52","0.91","0.99","0.89"
"16",NA,NA,"HCR 5 (Avg F)","0.64","1.02","0.77","1.11","1.57","1.23"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.42","1.97","0.33","1.31","1.02","5.44"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.41","1.96","0.31","1.29","1.02","5.44"
"19",NA,NA,"HCR 2a (PFMC)","0.46","2.23","0.35","1.55","1.18","6.19"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.45","2.23","0.35","1.54","1.17","6.18"
"21",NA,NA,"HCR 3a (SESSF)","0.49","2.38","0.39","1.65","1.11","5.61"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","2.37","0.37","1.65","1.12","5.63"
"23",NA,NA,"HCR 4 (NEFMC)","0.57","2.8","0.45","2.05","1.21","5.95"
"24",NA,NA,"HCR 5 (Avg F)","0.51","2.52","0.38","1.73","0.85","4.3"
"25",NA,"Est M","HCR 1a (NPFMC)","0.32","1.26","0.41","1.71","0.58","3.28"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.3","1.23","0.4","1.73","0.57","3.24"
"27",NA,NA,"HCR 2a (PFMC)","0.34","1.41","0.44","1.93","0.64","4"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.33","1.41","0.44","1.91","0.64","4.08"
"29",NA,NA,"HCR 3a (SESSF)","0.36","1.56","0.47","1.99","0.63","3.29"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.34","1.54","0.46","2.01","0.63","3.37"
"31",NA,NA,"HCR 4 (NEFMC)","0.39","1.81","0.55","2.37","0.69","3.65"
"32",NA,NA,"HCR 5 (Avg F)","0.46","2.26","0.4","1.81","0.83","4.01"
