"","System","EM","HCR","1. SS","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker"
"1","EBS","Fix M","HCR 1a (NPFMC)","0.41","0.69","0.57","0.78","0.96","0.85"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.68","0.55","0.78","0.96","0.85"
"3",NA,NA,"HCR 2a (PFMC)","0.44","0.72","0.59","0.8","1.02","0.83"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.43","0.72","0.59","0.8","1.02","0.83"
"5",NA,NA,"HCR 3a (SESSF)","0.48","0.76","0.64","0.83","1.06","0.85"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.48","0.75","0.63","0.84","1.06","0.85"
"7",NA,NA,"HCR 4 (NEFMC)","0.52","0.78","0.67","0.86","1.08","0.88"
"8",NA,NA,"HCR 5 (Avg F)","0.63","0.85","0.76","0.91","1.38","1.06"
"9",NA,"Est M","HCR 1a (NPFMC)","0.36","0.64","0.42","0.67","0.79","0.71"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.35","0.63","0.4","0.66","0.79","0.7"
"11",NA,NA,"HCR 2a (PFMC)","0.38","0.66","0.44","0.68","0.84","0.72"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.38","0.66","0.44","0.68","0.84","0.72"
"13",NA,NA,"HCR 3a (SESSF)","0.42","0.7","0.49","0.73","0.87","0.77"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.41","0.7","0.48","0.73","0.87","0.77"
"15",NA,NA,"HCR 4 (NEFMC)","0.44","0.72","0.51","0.74","0.88","0.78"
"16",NA,NA,"HCR 5 (Avg F)","0.64","0.85","0.76","0.91","1.41","1.07"
"17","GOA","Fix M","HCR 1a (NPFMC)","0.42","0.46","0.33","0.36","0.95","1.11"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.46","0.3","0.36","0.95","1.11"
"19",NA,NA,"HCR 2a (PFMC)","0.45","0.52","0.35","0.43","1.1","1.27"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.44","0.52","0.34","0.43","1.1","1.27"
"21",NA,NA,"HCR 3a (SESSF)","0.49","0.56","0.38","0.46","1.04","1.13"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.46","0.56","0.36","0.46","1.04","1.14"
"23",NA,NA,"HCR 4 (NEFMC)","0.55","0.66","0.44","0.58","1.13","1.2"
"24",NA,NA,"HCR 5 (Avg F)","0.49","0.59","0.38","0.48","0.78","0.84"
"25",NA,"Est M","HCR 1a (NPFMC)","0.32","0.3","0.41","0.48","0.54","0.64"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.3","0.28","0.39","0.48","0.52","0.64"
"27",NA,NA,"HCR 2a (PFMC)","0.33","0.33","0.44","0.54","0.59","0.8"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.32","0.33","0.43","0.54","0.58","0.82"
"29",NA,NA,"HCR 3a (SESSF)","0.36","0.37","0.46","0.56","0.59","0.64"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.33","0.36","0.45","0.56","0.58","0.66"
"31",NA,NA,"HCR 4 (NEFMC)","0.38","0.42","0.54","0.66","0.64","0.71"
"32",NA,NA,"HCR 5 (Avg F)","0.45","0.53","0.39","0.51","0.76","0.78"
