"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","0.4","0.62","0.4","0.47","0.47"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.42","0.39","0.4","0.4"
"3",NA,NA,"HCR 2a (PFMC)","0.49","0.76","0.46","0.56","0.56"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","0.49","0.51","0.48","0.49","0.49"
"5",NA,NA,"HCR 3a (SESSF)","0.47","0.73","0.45","0.54","0.54"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","0.47","0.48","0.46","0.47","0.47"
"7",NA,NA,"HCR 4 (NEFMC)","0.39","0.61","0.37","0.45","0.45"
"8",NA,NA,"HCR 5 (Avg F)","0.3","0.47","0.29","0.35","0.35"
"9",NA,"Est M","HCR 1a (NPFMC)","0.39","0.6","0.39","0.45","0.45"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","0.39","0.4","0.38","0.39","0.39"
"11",NA,NA,"HCR 2a (PFMC)","0.47","0.73","0.45","0.54","0.54"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","0.47","0.49","0.46","0.47","0.47"
"13",NA,NA,"HCR 3a (SESSF)","0.46","0.71","0.44","0.53","0.53"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","0.46","0.47","0.45","0.46","0.46"
"15",NA,NA,"HCR 4 (NEFMC)","0.38","0.59","0.36","0.44","0.44"
"16",NA,NA,"HCR 5 (Avg F)","0.29","0.46","0.28","0.34","0.34"
"17","SS est M","Fix M","HCR 1a (NPFMC)","0.4","0.61","0.39","0.46","0.46"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","0.39","0.41","0.38","0.39","0.39"
"19",NA,NA,"HCR 2a (PFMC)","0.48","0.75","0.46","0.55","0.55"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","0.48","0.5","0.47","0.48","0.48"
"21",NA,NA,"HCR 3a (SESSF)","0.46","0.71","0.45","0.53","0.53"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","0.46","0.48","0.45","0.46","0.46"
"23",NA,NA,"HCR 4 (NEFMC)","0.38","0.6","0.37","0.44","0.44"
"24",NA,NA,"HCR 5 (Avg F)","0.28","0.45","0.27","0.33","0.33"
"25",NA,"Est M","HCR 1a (NPFMC)","0.4","0.62","0.4","0.47","0.47"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","0.4","0.42","0.39","0.4","0.4"
"27",NA,NA,"HCR 2a (PFMC)","0.49","0.76","0.47","0.56","0.56"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","0.49","0.51","0.48","0.49","0.49"
"29",NA,NA,"HCR 3a (SESSF)","0.47","0.73","0.46","0.54","0.54"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","0.47","0.48","0.46","0.47","0.47"
"31",NA,NA,"HCR 4 (NEFMC)","0.39","0.61","0.37","0.45","0.45"
"32",NA,NA,"HCR 5 (Avg F)","0.28","0.45","0.27","0.33","0.33"
"33","MS","Fix M","HCR 1a (NPFMC)","0.67","0.81","0.59","0.67","0.66"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","0.67","0.82","0.57","0.66","0.66"
"35",NA,NA,"HCR 2a (PFMC)","0.79","0.95","0.68","0.78","0.78"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","0.79","0.95","0.68","0.78","0.78"
"37",NA,NA,"HCR 3a (SESSF)","0.76","0.91","0.66","0.75","0.75"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","0.76","0.91","0.65","0.75","0.75"
"39",NA,NA,"HCR 4 (NEFMC)","0.66","0.81","0.56","0.65","0.65"
"40",NA,NA,"HCR 5 (Avg F)","0.46","0.56","0.4","0.46","0.46"
"41",NA,"Est M","HCR 1a (NPFMC)","0.68","0.84","0.59","0.67","0.67"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","0.68","0.84","0.58","0.67","0.67"
"43",NA,NA,"HCR 2a (PFMC)","0.81","0.99","0.69","0.8","0.8"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","0.81","0.99","0.69","0.8","0.8"
"45",NA,NA,"HCR 3a (SESSF)","0.77","0.95","0.67","0.76","0.76"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","0.77","0.95","0.66","0.77","0.76"
"47",NA,NA,"HCR 4 (NEFMC)","0.66","0.83","0.56","0.66","0.66"
"48",NA,NA,"HCR 5 (Avg F)","0.47","0.57","0.4","0.46","0.46"
