"","System","EM","HCR","1. SS M","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker","All OMs"
"1","EBS","Fix M","HCR 1a (NPFMC)",3,2,5,3,5,3,21
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",4,2,4,2,4,3,19
"3",NA,NA,"HCR 2a (PFMC)",2,2,2,3,3,3,15
"4",NA,NA,"HCR 2b (Dynamic PFMC)",3,3,4,3,3,3,19
"5",NA,NA,"HCR 3a (SESSF)",5,3,5,5,5,3,26
"6",NA,NA,"HCR 3b (Dynamic SESSF)",5,5,5,5,5,5,30
"7",NA,NA,"HCR 4 (NEFMC)",5,5,5,5,5,5,30
"8",NA,NA,"HCR 5 (Avg F)",4,6,6,6,5,7,34
"9",NA,"Est M","HCR 1a (NPFMC)",1,1,2,2,1,1,8
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",4,2,4,3,2,2,17
"11",NA,NA,"HCR 2a (PFMC)",1,1,1,1,2,1,7
"12",NA,NA,"HCR 2b (Dynamic PFMC)",1,1,1,1,2,1,7
"13",NA,NA,"HCR 3a (SESSF)",2,3,2,3,3,2,15
"14",NA,NA,"HCR 3b (Dynamic SESSF)",5,3,5,3,5,2,23
"15",NA,NA,"HCR 4 (NEFMC)",3,3,3,3,4,2,18
"16",NA,NA,"HCR 5 (Avg F)",8,7,6,7,9,7,44
"17","GOA","Fix M","HCR 1a (NPFMC)",0,2,0,3,4,4,13
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",2,2,2,2,3,4,15
"19",NA,NA,"HCR 2a (PFMC)",1,2,1,1,4,6,15
"20",NA,NA,"HCR 2b (Dynamic PFMC)",2,2,2,2,4,4,16
"21",NA,NA,"HCR 3a (SESSF)",2,5,2,5,5,5,24
"22",NA,NA,"HCR 3b (Dynamic SESSF)",5,4,4,4,5,5,27
"23",NA,NA,"HCR 4 (NEFMC)",6,8,3,5,8,6,36
"24",NA,NA,"HCR 5 (Avg F)",3,5,3,5,3,5,24
"25",NA,"Est M","HCR 1a (NPFMC)",0,1,0,2,0,0,3
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",1,0,2,2,2,0,7
"27",NA,NA,"HCR 2a (PFMC)",0,1,1,2,2,3,9
"28",NA,NA,"HCR 2b (Dynamic PFMC)",1,0,2,2,2,1,8
"29",NA,NA,"HCR 3a (SESSF)",1,1,2,5,2,3,14
"30",NA,NA,"HCR 3b (Dynamic SESSF)",1,1,5,4,4,2,17
"31",NA,NA,"HCR 4 (NEFMC)",1,2,5,7,4,2,21
"32",NA,NA,"HCR 5 (Avg F)",4,6,3,5,4,6,28
