"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker","All OMs"
"1","EBS","Fix M","HCR 1a (NPFMC)",4,4,4,4,4,4,24
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,4,4,4,24
"3",NA,NA,"HCR 2a (PFMC)",4,4,4,4,4,4,24
"4",NA,NA,"HCR 2b (Dynamic PFMC)",4,4,4,4,4,4,24
"5",NA,NA,"HCR 3a (SESSF)",4,4,4,4,4,4,24
"6",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,4,24
"7",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,4,24
"8",NA,NA,"HCR 5 (Avg F)",4,4,4,4,4,4,24
"9",NA,"Est M","HCR 1a (NPFMC)",4,4,4,4,3,4,23
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,3,3,4,22
"11",NA,NA,"HCR 2a (PFMC)",4,4,4,4,3,4,23
"12",NA,NA,"HCR 2b (Dynamic PFMC)",4,4,4,4,3,3,22
"13",NA,NA,"HCR 3a (SESSF)",4,4,4,4,4,4,24
"14",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,4,24
"15",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,4,24
"16",NA,NA,"HCR 5 (Avg F)",4,4,4,4,4,4,24
"17","GOA","Fix M","HCR 1a (NPFMC)",4,4,4,4,4,4,24
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,4,4,4,24
"19",NA,NA,"HCR 2a (PFMC)",4,4,4,4,4,4,24
"20",NA,NA,"HCR 2b (Dynamic PFMC)",4,4,4,4,4,4,24
"21",NA,NA,"HCR 3a (SESSF)",4,4,4,4,4,4,24
"22",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,4,24
"23",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,4,24
"24",NA,NA,"HCR 5 (Avg F)",4,4,4,4,4,4,24
"25",NA,"Est M","HCR 1a (NPFMC)",4,4,4,4,4,4,24
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,4,4,4,24
"27",NA,NA,"HCR 2a (PFMC)",4,4,3,4,4,4,23
"28",NA,NA,"HCR 2b (Dynamic PFMC)",4,4,3,4,4,4,23
"29",NA,NA,"HCR 3a (SESSF)",4,4,4,4,4,4,24
"30",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,4,24
"31",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,4,24
"32",NA,NA,"HCR 5 (Avg F)",4,4,4,4,4,4,24
