"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",7,9,1,7,7,31,110
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,132
"3",NA,NA,"HCR 2a (PFMC)",6,7,6,5,5,29,98
"4",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,130
"5",NA,NA,"HCR 3a (SESSF)",9,9,7,9,9,43,133
"6",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,135
"7",NA,NA,"HCR 4 (NEFMC)",1,3,1,1,1,7,57
"8",NA,NA,"HCR 5 (Avg F)",9,9,7,9,9,43,145
"9",NA,"Est M","HCR 1a (NPFMC)",3,3,2,3,1,12,44
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,4,4,20,69
"11",NA,NA,"HCR 2a (PFMC)",3,2,2,2,2,11,37
"12",NA,NA,"HCR 2b (Dynamic PFMC)",4,4,4,4,4,20,52
"13",NA,NA,"HCR 3a (SESSF)",7,9,7,7,7,37,107
"14",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,127
"15",NA,NA,"HCR 4 (NEFMC)",4,3,3,3,3,16,47
"16",NA,NA,"HCR 5 (Avg F)",12,12,10,12,12,58,165
"17","SS est M","Fix M","HCR 1a (NPFMC)",9,9,4,9,9,40,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"19",NA,NA,"HCR 2a (PFMC)",7,9,6,7,7,36,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,10,9,9,46,NA
"21",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"23",NA,NA,"HCR 4 (NEFMC)",5,7,3,5,5,25,NA
"24",NA,NA,"HCR 5 (Avg F)",11,11,11,11,11,55,NA
"25",NA,"Est M","HCR 1a (NPFMC)",4,6,3,3,4,20,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",7,7,7,7,7,35,NA
"27",NA,NA,"HCR 2a (PFMC)",1,1,1,1,1,5,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",2,5,2,3,3,15,NA
"29",NA,NA,"HCR 3a (SESSF)",9,9,6,9,9,42,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"31",NA,NA,"HCR 4 (NEFMC)",2,2,2,2,2,10,NA
"32",NA,NA,"HCR 5 (Avg F)",10,10,9,10,10,49,NA
"33","MS","Fix M","HCR 1a (NPFMC)",9,7,8,6,9,39,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",9,6,9,9,9,42,NA
"35",NA,NA,"HCR 2a (PFMC)",7,5,7,7,7,33,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",9,5,9,7,9,39,NA
"37",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"39",NA,NA,"HCR 4 (NEFMC)",5,5,5,5,5,25,NA
"40",NA,NA,"HCR 5 (Avg F)",9,11,9,9,9,47,NA
"41",NA,"Est M","HCR 1a (NPFMC)",3,2,2,2,3,12,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",3,2,3,3,3,14,NA
"43",NA,NA,"HCR 2a (PFMC)",5,4,4,4,4,21,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",5,3,3,3,3,17,NA
"45",NA,NA,"HCR 3a (SESSF)",7,5,6,5,5,28,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",9,7,7,7,7,37,NA
"47",NA,NA,"HCR 4 (NEFMC)",5,4,4,4,4,21,NA
"48",NA,NA,"HCR 5 (Avg F)",12,10,12,12,12,58,NA
