"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",7,9,7,9,7,39,129
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,135
"3",NA,NA,"HCR 2a (PFMC)",9,9,9,9,9,45,129
"4",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,129
"5",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,135
"6",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,135
"7",NA,NA,"HCR 4 (NEFMC)",5,5,2,5,2,19,81
"8",NA,NA,"HCR 5 (Avg F)",9,9,9,9,9,45,147
"9",NA,"Est M","HCR 1a (NPFMC)",7,7,7,7,7,35,119
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",7,7,7,7,7,35,125
"11",NA,NA,"HCR 2a (PFMC)",10,9,10,11,10,50,125
"12",NA,NA,"HCR 2b (Dynamic PFMC)",10,11,10,9,10,50,133
"13",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,135
"14",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,135
"15",NA,NA,"HCR 4 (NEFMC)",5,5,3,5,2,20,68
"16",NA,NA,"HCR 5 (Avg F)",11,11,11,11,11,55,158
"17","SS est M","Fix M","HCR 1a (NPFMC)",9,9,9,9,9,45,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"19",NA,NA,"HCR 2a (PFMC)",9,9,9,9,9,45,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",9,9,9,9,9,45,NA
"21",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"23",NA,NA,"HCR 4 (NEFMC)",7,7,5,7,5,31,NA
"24",NA,NA,"HCR 5 (Avg F)",11,11,11,11,11,55,NA
"25",NA,"Est M","HCR 1a (NPFMC)",7,9,7,9,7,39,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"27",NA,NA,"HCR 2a (PFMC)",7,7,4,8,5,31,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,8,7,8,39,NA
"29",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"31",NA,NA,"HCR 4 (NEFMC)",3,5,2,5,2,17,NA
"32",NA,NA,"HCR 5 (Avg F)",10,10,10,10,10,50,NA
"33","MS","Fix M","HCR 1a (NPFMC)",9,9,9,9,9,45,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"35",NA,NA,"HCR 2a (PFMC)",7,9,7,9,7,39,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",7,9,7,9,7,39,NA
"37",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"39",NA,NA,"HCR 4 (NEFMC)",7,7,5,7,5,31,NA
"40",NA,NA,"HCR 5 (Avg F)",9,10,9,10,9,47,NA
"41",NA,"Est M","HCR 1a (NPFMC)",9,9,9,9,9,45,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",9,9,9,9,9,45,NA
"43",NA,NA,"HCR 2a (PFMC)",8,10,7,10,9,44,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",8,10,9,10,7,44,NA
"45",NA,NA,"HCR 3a (SESSF)",9,9,9,9,9,45,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",9,9,9,9,9,45,NA
"47",NA,NA,"HCR 4 (NEFMC)",7,7,5,7,5,31,NA
"48",NA,NA,"HCR 5 (Avg F)",11,10,11,10,11,53,NA
