"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",1,1,0,0,0,2,29
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,5,4,21,70
"3",NA,NA,"HCR 2a (PFMC)",3,3,2,3,3,14,56
"4",NA,NA,"HCR 2b (Dynamic PFMC)",6,6,7,6,6,31,95
"5",NA,NA,"HCR 3a (SESSF)",5,6,4,4,5,24,88
"6",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,116
"7",NA,NA,"HCR 4 (NEFMC)",0,0,0,0,0,0,18
"8",NA,NA,"HCR 5 (Avg F)",5,6,5,5,5,26,79
"9",NA,"Est M","HCR 1a (NPFMC)",0,0,0,0,0,0,13
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",2,2,1,2,2,9,36
"11",NA,NA,"HCR 2a (PFMC)",2,1,1,1,1,6,21
"12",NA,NA,"HCR 2b (Dynamic PFMC)",3,3,3,2,3,14,38
"13",NA,NA,"HCR 3a (SESSF)",3,2,2,2,3,12,46
"14",NA,NA,"HCR 3b (Dynamic SESSF)",6,4,4,6,4,24,77
"15",NA,NA,"HCR 4 (NEFMC)",0,0,0,0,0,0,10
"16",NA,NA,"HCR 5 (Avg F)",5,6,5,5,6,27,86
"17","SS est M","Fix M","HCR 1a (NPFMC)",1,1,0,0,1,3,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",5,4,5,5,4,23,NA
"19",NA,NA,"HCR 2a (PFMC)",1,1,1,1,1,5,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",5,5,6,5,5,26,NA
"21",NA,NA,"HCR 3a (SESSF)",5,6,5,5,5,26,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"23",NA,NA,"HCR 4 (NEFMC)",0,0,0,0,0,0,NA
"24",NA,NA,"HCR 5 (Avg F)",5,6,5,5,5,26,NA
"25",NA,"Est M","HCR 1a (NPFMC)",0,1,0,0,0,1,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",2,4,4,2,2,14,NA
"27",NA,NA,"HCR 2a (PFMC)",1,1,1,1,1,5,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",2,3,3,3,3,14,NA
"29",NA,NA,"HCR 3a (SESSF)",5,2,2,2,2,13,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",8,4,3,4,4,23,NA
"31",NA,NA,"HCR 4 (NEFMC)",0,0,0,0,0,0,NA
"32",NA,NA,"HCR 5 (Avg F)",7,7,5,7,6,32,NA
"33","MS","Fix M","HCR 1a (NPFMC)",6,4,6,2,6,24,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",6,4,6,4,6,26,NA
"35",NA,NA,"HCR 2a (PFMC)",9,7,7,5,9,37,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,6,8,8,38,NA
"37",NA,NA,"HCR 3a (SESSF)",8,8,8,6,8,38,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",8,6,8,6,8,36,NA
"39",NA,NA,"HCR 4 (NEFMC)",3,2,4,3,6,18,NA
"40",NA,NA,"HCR 5 (Avg F)",6,5,6,4,6,27,NA
"41",NA,"Est M","HCR 1a (NPFMC)",3,2,2,2,3,12,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",4,2,2,1,4,13,NA
"43",NA,NA,"HCR 2a (PFMC)",2,2,2,2,2,10,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",2,2,2,2,2,10,NA
"45",NA,NA,"HCR 3a (SESSF)",4,4,4,4,5,21,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",6,6,6,6,6,30,NA
"47",NA,NA,"HCR 4 (NEFMC)",2,2,2,2,2,10,NA
"48",NA,NA,"HCR 5 (Avg F)",6,5,6,4,6,27,NA
