"","System","EM","HCR","1. SS M","2. w Ricker","3. SS age-M","4. w Ricker","5. MS","6. w Ricker","All OMs"
"1","EBS","Fix M","HCR 1a (NPFMC)",3,4,3,4,4,4,22
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,4,4,4,24
"3",NA,NA,"HCR 2a (PFMC)",1,2,1,2,2,2,10
"4",NA,NA,"HCR 2b (Dynamic PFMC)",3,3,3,3,3,3,18
"5",NA,NA,"HCR 3a (SESSF)",4,4,4,4,4,4,24
"6",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,4,24
"7",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,4,24
"8",NA,NA,"HCR 5 (Avg F)",2,2,2,2,2,2,12
"9",NA,"Est M","HCR 1a (NPFMC)",3,4,3,4,4,4,22
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,4,4,4,24
"11",NA,NA,"HCR 2a (PFMC)",1,2,1,1,2,2,9
"12",NA,NA,"HCR 2b (Dynamic PFMC)",3,3,3,2,3,3,17
"13",NA,NA,"HCR 3a (SESSF)",4,4,4,4,4,4,24
"14",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,4,24
"15",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,4,24
"16",NA,NA,"HCR 5 (Avg F)",2,2,2,3,2,2,13
"17","GOA","Fix M","HCR 1a (NPFMC)",0,1,0,0,1,1,3
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",1,0,0,0,0,1,2
"19",NA,NA,"HCR 2a (PFMC)",0,0,0,0,1,1,2
"20",NA,NA,"HCR 2b (Dynamic PFMC)",0,0,0,0,1,1,2
"21",NA,NA,"HCR 3a (SESSF)",2,2,1,1,2,2,10
"22",NA,NA,"HCR 3b (Dynamic SESSF)",4,3,2,2,3,3,17
"23",NA,NA,"HCR 4 (NEFMC)",0,2,0,0,1,1,4
"24",NA,NA,"HCR 5 (Avg F)",0,0,0,0,1,1,2
"25",NA,"Est M","HCR 1a (NPFMC)",1,1,0,0,1,1,4
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",2,1,0,1,2,1,7
"27",NA,NA,"HCR 2a (PFMC)",0,0,0,0,1,1,2
"28",NA,NA,"HCR 2b (Dynamic PFMC)",1,0,0,0,1,1,3
"29",NA,NA,"HCR 3a (SESSF)",2,3,2,3,3,4,17
"30",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,3,3,3,3,20
"31",NA,NA,"HCR 4 (NEFMC)",2,3,2,2,2,2,13
"32",NA,NA,"HCR 5 (Avg F)",0,0,0,0,1,1,2
