"","System","EM","HCR","1. SS fix M","2. w Ricker","3. SS est M","4. w Ricker","5. MS","6. w Ricker","All OMs"
"1","EBS","Fix M","HCR 1a (NPFMC)",3,2,4,3,4,3,19
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",3,2,3,2,4,3,17
"3",NA,NA,"HCR 2a (PFMC)",1,1,1,2,2,2,9
"4",NA,NA,"HCR 2b (Dynamic PFMC)",2,2,3,2,2,2,13
"5",NA,NA,"HCR 3a (SESSF)",4,3,4,4,4,3,22
"6",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,4,24
"7",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,3,23
"8",NA,"Est M","HCR 1a (NPFMC)",1,1,2,2,1,1,8
"9",NA,NA,"HCR 1b (Dynamic NPFMC)",2,1,3,2,1,1,10
"10",NA,NA,"HCR 2a (PFMC)",0,0,0,0,1,1,2
"11",NA,NA,"HCR 2b (Dynamic PFMC)",0,0,0,0,1,1,2
"12",NA,NA,"HCR 3a (SESSF)",2,3,2,3,3,2,15
"13",NA,NA,"HCR 3b (Dynamic SESSF)",4,3,4,3,4,2,20
"14",NA,NA,"HCR 4 (NEFMC)",2,1,2,2,3,1,11
"15","GOA","Fix M","HCR 1a (NPFMC)",0,2,0,2,3,3,10
"16",NA,NA,"HCR 1b (Dynamic NPFMC)",1,1,1,1,2,3,9
"17",NA,NA,"HCR 2a (PFMC)",0,1,0,0,2,2,5
"18",NA,NA,"HCR 2b (Dynamic PFMC)",1,1,1,1,3,3,10
"19",NA,NA,"HCR 3a (SESSF)",2,4,2,4,4,4,20
"20",NA,NA,"HCR 3b (Dynamic SESSF)",4,3,3,3,4,4,21
"21",NA,NA,"HCR 4 (NEFMC)",2,4,1,3,4,4,18
"22",NA,"Est M","HCR 1a (NPFMC)",0,1,0,2,1,0,4
"23",NA,NA,"HCR 1b (Dynamic NPFMC)",0,0,1,1,1,0,3
"24",NA,NA,"HCR 2a (PFMC)",0,0,0,1,1,1,3
"25",NA,NA,"HCR 2b (Dynamic PFMC)",0,0,1,1,1,1,4
"26",NA,NA,"HCR 3a (SESSF)",1,1,2,4,2,3,13
"27",NA,NA,"HCR 3b (Dynamic SESSF)",1,0,4,3,2,2,12
"28",NA,NA,"HCR 4 (NEFMC)",0,1,1,3,2,1,8
