"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",1,0,0,0,0,1,12
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",0,1,0,0,1,2,22
"3",NA,NA,"HCR 2a (PFMC)",1,0,0,0,0,1,17
"4",NA,NA,"HCR 2b (Dynamic PFMC)",0,0,0,0,0,0,21
"5",NA,NA,"HCR 3a (SESSF)",4,6,4,4,4,22,54
"6",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,85
"7",NA,NA,"HCR 4 (NEFMC)",0,0,0,0,0,0,15
"8",NA,NA,"HCR 5 (Avg F)",2,3,2,1,1,9,26
"9",NA,"Est M","HCR 1a (NPFMC)",1,4,1,3,2,11,27
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",6,6,6,6,6,30,61
"11",NA,NA,"HCR 2a (PFMC)",2,5,2,4,4,17,41
"12",NA,NA,"HCR 2b (Dynamic PFMC)",5,6,5,6,6,28,55
"13",NA,NA,"HCR 3a (SESSF)",6,6,4,8,6,30,77
"14",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,90
"15",NA,NA,"HCR 4 (NEFMC)",1,1,1,0,1,4,18
"16",NA,NA,"HCR 5 (Avg F)",0,2,0,1,2,5,17
"17","SS est M","Fix M","HCR 1a (NPFMC)",2,1,1,0,1,5,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",2,2,2,2,2,10,NA
"19",NA,NA,"HCR 2a (PFMC)",2,1,1,1,1,6,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",2,2,2,2,2,10,NA
"21",NA,NA,"HCR 3a (SESSF)",3,2,2,2,2,11,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",3,3,3,3,3,15,NA
"23",NA,NA,"HCR 4 (NEFMC)",2,1,1,1,1,6,NA
"24",NA,NA,"HCR 5 (Avg F)",2,1,1,1,1,6,NA
"25",NA,"Est M","HCR 1a (NPFMC)",0,3,0,2,0,5,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",3,2,2,2,2,11,NA
"27",NA,NA,"HCR 2a (PFMC)",0,3,0,3,3,9,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",3,1,3,2,2,11,NA
"29",NA,NA,"HCR 3a (SESSF)",4,6,4,6,1,21,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",4,4,4,4,4,20,NA
"31",NA,NA,"HCR 4 (NEFMC)",0,2,0,1,1,4,NA
"32",NA,NA,"HCR 5 (Avg F)",0,1,0,0,0,1,NA
"33","MS","Fix M","HCR 1a (NPFMC)",2,1,1,1,1,6,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",2,2,2,2,2,10,NA
"35",NA,NA,"HCR 2a (PFMC)",2,2,2,2,2,10,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",3,2,2,2,2,11,NA
"37",NA,NA,"HCR 3a (SESSF)",5,4,4,4,4,21,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",6,6,6,6,6,30,NA
"39",NA,NA,"HCR 4 (NEFMC)",2,2,1,2,2,9,NA
"40",NA,NA,"HCR 5 (Avg F)",3,2,2,2,2,11,NA
"41",NA,"Est M","HCR 1a (NPFMC)",3,2,2,2,2,11,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",4,4,4,4,4,20,NA
"43",NA,NA,"HCR 2a (PFMC)",3,3,3,3,3,15,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",4,3,3,3,3,16,NA
"45",NA,NA,"HCR 3a (SESSF)",6,5,5,5,5,26,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",6,6,6,6,6,30,NA
"47",NA,NA,"HCR 4 (NEFMC)",2,2,2,2,2,10,NA
"48",NA,NA,"HCR 5 (Avg F)",3,2,2,2,2,11,NA
